project_id,civil_cost_cr,equipment_cost_cr,material_cost_cr,electromechanical_cost_cr,hydromechanical_cost_cr,infrastructure_cost_cr,land_rehabilitation_cost_cr,contingency_cost_cr,total_project_cost_cr,cost_year,base_year,normalized_cost_cr,synthetic_flag
HP-049,6678.73,3810.57,2836.83,2667.4,1143.17,675.13,540.11,405.08,13502.63,2009,2022,25461.22,True
HP-050,3975.64,2752.04,1699.2,1926.43,825.61,400.85,320.68,240.51,8017.06,2008,2022,15873.23,True
HP-051,6372.43,3545.84,2793.69,2482.09,1063.75,573.84,459.07,344.3,11476.79,2022,2022,11476.79,True
HP-052,6906.61,4295.48,3188.12,3006.84,1288.64,707.29,565.83,424.38,14145.86,2000,2022,41380.33,True
HP-053,6336.16,3858.85,2961.6,2701.19,1157.65,568.44,454.75,341.06,11368.71,2013,2022,17636.6,True
HP-054,1276.83,749.61,599.28,524.73,224.88,119.52,95.61,71.71,2390.37,2017,2022,3050.79,True
HP-055,2845.37,1924.44,1224.71,1347.11,577.33,290.91,232.73,174.55,5818.25,2022,2022,5818.25,True
HP-056,12076.81,5870.91,5369.36,4109.64,1761.27,1057.83,846.26,634.7,21156.56,2005,2022,48491.22,True
HP-057,6272.67,4063.36,3039.25,2844.35,1219.01,608.43,486.74,365.06,12168.59,2004,2022,29285.16,True
HP-058,14032.26,6839.67,6439.33,4787.77,2051.9,1255.8,1004.64,753.48,25115.95,2017,2022,32055.02,True
HP-059,5551.67,3743.61,2261.86,2620.53,1123.08,542.29,433.83,325.37,10845.82,2007,2022,22547.68,True
HP-060,13636.51,7183.25,6088.78,5028.27,2154.97,1299.76,1039.81,779.86,25995.22,2005,2022,59581.52,True
HP-061,4078.67,2616.74,1952.28,1831.72,785.02,387.84,310.27,232.71,7756.84,2012,2022,12635.07,True
HP-062,7125.56,3851.82,2890.27,2696.27,1155.55,670.14,536.11,402.08,13402.73,2017,2022,17105.66,True
HP-063,3287.63,1913.97,1405.59,1339.78,574.19,298.18,238.55,178.91,5963.69,2011,2022,10199.93,True
HP-064,7461.99,3906.4,3475.51,2734.48,1171.92,731.54,585.23,438.92,14630.8,2021,2022,15362.34,True
HP-065,1786.17,1063.03,791.17,744.12,318.91,181.18,144.94,108.7,3623.5,2010,2022,6507.29,True
HP-066,9688.61,5593.9,3894.57,3915.73,1678.17,886.92,709.53,532.15,17738.31,2007,2022,36876.67,True
HP-067,3497.68,1727.36,1460.18,1209.15,518.21,332.21,265.77,199.33,6644.17,2021,2022,6976.38,True
HP-068,1819.01,970.69,862.87,679.48,291.21,160.45,128.36,96.27,3209.07,2010,2022,5763.03,True
HP-069,8609.06,4652.99,4154.14,3257.09,1395.9,818.94,655.15,491.37,16378.84,2012,2022,26679.4,True
HP-070,5572.71,3405.07,2614.61,2383.55,1021.52,499.25,399.4,299.55,9985.0,2000,2022,29208.73,True
HP-071,7874.39,3880.4,3194.33,2716.28,1164.12,759.95,607.96,455.97,15198.97,2012,2022,24757.52,True
HP-072,7114.67,3852.26,3150.74,2696.58,1155.68,669.45,535.56,401.67,13388.93,2003,2022,33833.16,True
HP-073,10446.64,5443.8,5130.7,3810.66,1633.14,978.11,782.48,586.86,19562.12,2001,2022,54499.33,True
HP-074,9925.12,6212.42,4572.07,4348.69,1863.73,974.99,779.99,585.0,19499.87,2005,2022,44694.06,True
HP-075,5422.23,2931.32,2348.29,2051.92,879.4,490.65,392.52,294.39,9812.95,2009,2022,18503.78,True
HP-076,8621.34,5782.04,3913.81,4047.43,1734.61,851.81,681.45,511.08,17036.14,2009,2022,32124.18,True
HP-077,5780.06,3343.87,2784.39,2340.71,1003.16,575.37,460.3,345.22,11507.42,2007,2022,23923.1,True
HP-078,3035.61,1842.74,1403.43,1289.92,552.82,281.98,225.58,169.19,5639.62,2005,2022,12926.11,True
HP-079,4419.39,1998.67,1998.69,1399.07,599.6,398.6,318.88,239.16,7972.0,2021,2022,8370.6,True
HP-080,1814.27,1081.69,904.31,757.18,324.51,187.51,150.01,112.51,3750.24,2018,2022,4558.44,True
HP-081,6199.32,3824.87,2634.8,2677.41,1147.46,580.69,464.55,348.41,11613.77,2009,2022,21899.5,True
HP-082,6453.57,4507.37,3199.68,3155.16,1352.21,671.32,537.06,402.79,13426.41,2012,2022,21870.21,True
HP-083,13865.89,8690.05,5818.22,6083.03,2607.01,1294.59,1035.67,776.75,25891.7,2004,2022,62311.46,True
HP-084,2460.75,1391.67,1193.19,974.17,417.5,226.54,181.23,135.92,4530.71,2009,2022,8543.33,True
HP-085,4470.04,2376.19,1848.41,1663.33,712.86,389.73,311.78,233.84,7794.51,2011,2022,13331.26,True
HP-086,4420.18,2660.32,1968.2,1862.22,798.1,450.09,360.07,270.05,9001.74,2008,2022,17822.83,True
HP-087,14024.89,8231.72,6380.74,5762.2,2469.52,1268.48,1014.78,761.09,25369.56,2000,2022,74212.58,True
HP-088,9349.37,5033.95,4064.79,3523.76,1510.18,936.85,749.48,562.11,18737.06,2000,2022,54810.79,True
HP-089,1960.34,1170.79,958.56,819.55,351.24,195.69,156.55,117.42,3913.85,2020,2022,4315.02,True
HP-090,10158.04,6253.1,4321.32,4377.17,1875.93,912.56,730.04,547.53,18251.11,2002,2022,48425.63,True
HP-091,2713.91,1241.12,1294.64,868.78,372.34,236.81,189.44,142.08,4736.12,2010,2022,8505.39,True
HP-092,3836.2,1795.25,1651.41,1256.67,538.57,355.61,284.49,213.36,7112.14,2016,2022,9530.95,True
HP-093,9648.48,6410.35,4232.33,4487.24,1923.11,947.32,757.86,568.39,18946.46,2002,2022,50270.6,True
HP-094,2919.63,1539.75,1368.88,1077.82,461.92,291.83,233.46,175.1,5836.56,2016,2022,7821.55,True
HP-095,7675.0,4319.69,3120.76,3023.78,1295.91,662.98,530.39,397.79,13259.63,2000,2022,38787.87,True
HP-096,12578.91,6839.13,5062.9,4787.39,2051.74,1211.12,968.9,726.67,24222.5,2010,2022,43500.13,True
HP-097,9057.64,5358.71,3629.01,3751.1,1607.61,863.97,691.18,518.38,17279.38,2003,2022,43664.13,True
HP-098,1424.88,912.6,606.95,638.82,273.78,136.3,109.04,81.78,2725.97,2010,2022,4895.45,True
HP-099,10149.47,5391.61,4855.5,3774.13,1617.48,950.87,760.69,570.52,19017.3,2022,2022,19017.3,True
HP-100,951.1,496.11,474.86,347.28,148.83,82.24,65.79,49.35,1644.85,2002,2022,4364.28,True
HP-101,562.83,319.49,259.82,223.64,95.85,49.93,39.94,29.96,998.6,2003,2022,2523.41,True
HP-102,353.69,194.74,169.22,136.32,58.42,31.5,25.2,18.9,630.02,2021,2022,661.52,True
HP-103,510.05,356.76,253.39,249.73,107.03,52.45,41.96,31.47,1048.97,2014,2022,1549.81,True
HP-104,220.52,103.91,89.04,72.74,31.17,20.51,16.41,12.3,410.16,2012,2022,668.11,True
HP-105,333.69,181.71,153.22,127.2,54.51,33.97,27.18,20.38,679.4,2021,2022,713.37,True
HP-106,442.38,288.12,188.25,201.68,86.44,43.62,34.9,26.17,872.48,2004,2022,2099.73,True
HP-107,227.59,161.82,97.06,113.27,48.55,23.41,18.73,14.05,468.28,2000,2022,1369.84,True
HP-108,315.92,205.36,150.39,143.75,61.61,30.73,24.59,18.44,614.63,2003,2022,1553.14,True
HP-109,344.5,182.06,143.68,127.44,54.62,30.79,24.63,18.48,615.87,2014,2022,909.92,True
HP-110,164.15,108.28,75.68,75.8,32.48,15.75,12.6,9.45,314.94,2021,2022,330.69,True
HP-111,492.29,301.6,208.24,211.12,90.48,44.37,35.5,26.62,887.48,2006,2022,1937.26,True
HP-112,308.43,160.42,151.98,112.29,48.13,29.46,23.57,17.68,589.26,2013,2022,914.14,True
HP-113,477.09,271.75,193.45,190.22,81.52,41.99,33.59,25.19,839.83,2022,2022,839.83,True
HP-114,319.32,216.92,131.22,151.84,65.08,31.38,25.1,18.83,627.55,2002,2022,1665.08,True
HP-115,241.04,123.73,102.69,86.61,37.12,23.56,18.84,14.13,471.1,2014,2022,696.03,True
HP-116,280.73,177.22,139.69,124.05,53.17,25.63,20.5,15.38,512.55,2012,2022,834.89,True
HP-117,191.78,115.97,86.19,81.18,34.79,18.79,15.04,11.28,375.89,2011,2022,642.9,True
HP-118,550.28,322.73,257.8,225.91,96.82,48.5,38.8,29.1,970.09,2022,2022,970.09,True
HP-119,206.01,120.37,83.28,84.26,36.11,18.48,14.78,11.09,369.55,2003,2022,933.83,True
HP-120,471.24,295.13,203.31,206.59,88.54,45.25,36.2,27.15,904.92,2003,2022,2286.69,True
HP-121,440.87,285.87,204.73,200.11,85.76,43.45,34.76,26.07,869.05,2014,2022,1283.98,True
HP-122,475.1,255.45,208.53,178.81,76.63,45.41,36.33,27.25,908.29,2020,2022,1001.39,True
HP-123,468.55,303.61,203.16,212.53,91.08,47.81,38.25,28.69,956.21,2012,2022,1557.57,True
HP-124,236.31,137.69,106.87,96.38,41.31,22.02,17.61,13.21,440.37,2009,2022,830.38,True
HP-125,219.14,135.93,99.09,95.15,40.78,19.8,15.84,11.88,395.95,2009,2022,746.62,True
HP-126,358.31,171.41,177.75,119.99,51.42,34.17,27.34,20.5,683.48,2007,2022,1420.91,True
HP-127,543.64,329.58,260.92,230.71,98.87,49.53,39.63,29.72,990.69,2002,2022,2628.6,True
HP-128,434.24,248.51,203.79,173.96,74.55,44.01,35.21,26.41,880.23,2006,2022,1921.43,True
HP-129,367.9,175.32,178.54,122.72,52.6,33.06,26.45,19.84,661.26,2019,2022,765.49,True
HP-130,168.44,90.56,67.47,63.39,27.17,14.63,11.71,8.78,292.68,2001,2022,815.4,True
HP-131,595.84,351.5,293.79,246.05,105.45,54.69,43.75,32.81,1093.77,2002,2022,2902.1,True
HP-132,224.15,108.44,104.36,75.91,32.53,21.57,17.26,12.94,431.48,2013,2022,669.37,True
HP-133,382.2,220.59,178.82,154.41,66.18,35.45,28.36,21.27,708.95,2004,2022,1706.17,True
HP-134,250.51,163.64,109.19,114.55,49.09,23.38,18.71,14.03,467.64,2015,2022,658.02,True
HP-135,289.87,190.12,125.84,133.08,57.04,28.73,22.98,17.24,574.54,2008,2022,1137.55,True
HP-136,375.83,233.87,173.8,163.71,70.16,34.52,27.62,20.71,690.38,2013,2022,1071.01,True
HP-137,187.43,92.1,82.05,64.47,27.63,17.44,13.95,10.47,348.85,2004,2022,839.55,True
HP-138,186.2,108.94,89.21,76.26,32.68,18.24,14.59,10.95,364.86,2004,2022,878.08,True
HP-139,200.97,100.64,89.95,70.45,30.19,18.71,14.97,11.23,374.22,2002,2022,992.92,True
HP-140,190.41,116.14,83.92,81.3,34.84,19.59,15.67,11.75,391.73,2019,2022,453.48,True
HP-141,407.61,246.21,201.58,172.35,73.86,36.38,29.1,21.83,727.6,2002,2022,1930.54,True
HP-142,188.09,101.31,92.25,70.92,30.39,18.22,14.57,10.93,364.31,2020,2022,401.65,True
HP-143,346.79,189.34,169.24,132.54,56.8,33.4,26.72,20.04,667.94,2021,2022,701.34,True
HP-144,211.49,118.24,94.19,82.77,35.47,18.93,15.14,11.36,378.5,2000,2022,1107.21,True
HP-145,435.09,221.36,203.09,154.95,66.41,38.95,31.16,23.37,779.0,2003,2022,1968.49,True
HP-146,278.38,172.75,120.77,120.92,51.82,25.52,20.41,15.31,510.33,2015,2022,718.09,True
HP-147,538.14,253.54,227.07,177.48,76.06,49.98,39.98,29.99,999.52,2006,2022,2181.83,True
HP-148,239.14,105.02,102.82,73.51,31.51,20.93,16.75,12.56,418.64,2009,2022,789.41,True
HP-149,427.38,266.09,212.84,186.26,79.83,39.52,31.61,23.71,790.3,2006,2022,1725.13,True
HP-150,334.32,211.88,153.95,148.32,63.56,31.87,25.49,19.12,637.31,2021,2022,669.18,True
HP-151,132.04,68.55,62.67,47.98,20.56,11.9,9.52,7.14,237.92,2009,2022,448.63,True
HP-152,357.72,239.04,155.15,167.33,71.71,34.25,27.4,20.55,685.06,2007,2022,1424.19,True
HP-153,179.8,94.88,77.95,66.42,28.46,15.91,12.73,9.54,318.15,2006,2022,694.48,True
HP-154,356.08,161.4,149.29,112.98,48.42,31.4,25.12,18.84,628.02,2009,2022,1184.23,True
HP-155,272.8,165.99,122.53,116.19,49.8,25.73,20.59,15.44,514.64,2006,2022,1123.39,True
HP-156,444.64,262.07,208.62,183.45,78.62,44.77,35.82,26.86,895.41,2012,2022,1458.53,True
HP-157,459.49,218.36,186.6,152.85,65.51,41.98,33.58,25.19,839.59,2004,2022,2020.57,True
HP-158,567.18,283.03,254.35,198.12,84.91,51.77,41.42,31.06,1035.39,2010,2022,1859.41,True
HP-159,249.78,145.99,122.65,102.19,43.8,25.67,20.54,15.4,513.46,2022,2022,513.46,True
HP-160,261.3,142.22,121.01,99.55,42.67,23.13,18.51,13.88,462.66,2018,2022,562.37,True
HP-161,533.93,321.04,233.68,224.73,96.31,47.8,38.24,28.68,955.92,2015,2022,1345.08,True
HP-162,208.66,111.94,91.92,78.36,33.58,18.43,14.74,11.06,368.51,2020,2022,406.28,True
HP-163,420.66,258.21,193.59,180.75,77.46,37.34,29.87,22.4,746.82,2021,2022,784.16,True
HP-164,195.86,127.08,84.35,88.96,38.12,19.68,15.75,11.81,393.63,2008,2022,779.36,True
HP-165,300.23,198.74,148.46,139.12,59.62,30.76,24.61,18.46,615.29,2005,2022,1410.26,True
HP-166,403.32,246.44,162.76,172.51,73.93,37.05,29.64,22.23,741.0,2021,2022,778.05,True
HP-167,267.25,156.12,128.28,109.28,46.84,25.59,20.47,15.36,511.86,2005,2022,1173.19,True
HP-168,159.04,95.32,68.49,66.72,28.6,16.39,13.11,9.84,327.86,2000,2022,959.08,True
HP-169,414.65,205.41,204.91,143.79,61.62,39.52,31.62,23.71,790.44,2022,2022,790.44,True
HP-170,205.59,101.71,87.76,71.2,30.51,18.19,14.55,10.91,363.71,2011,2022,622.07,True
HP-171,375.6,217.88,156.09,152.52,65.36,33.49,26.79,20.09,669.79,2020,2022,738.44,True
HP-172,388.76,194.36,174.12,136.05,58.31,34.62,27.69,20.77,692.3,2020,2022,763.26,True
HP-173,184.63,94.74,91.08,66.32,28.42,18.93,15.15,11.36,378.63,2000,2022,1107.59,True
HP-174,441.8,258.76,189.74,181.13,77.63,38.98,31.19,23.39,779.63,2008,2022,1543.61,True
HP-175,185.44,112.25,82.03,78.57,33.67,17.49,13.99,10.49,349.76,2022,2022,349.76,True
HP-176,134.87,86.86,58.42,60.8,26.06,13.68,10.94,8.21,273.59,2015,2022,384.97,True
HP-177,277.76,186.53,115.59,130.57,55.96,27.16,21.73,16.3,543.17,2002,2022,1441.19,True
HP-178,469.82,236.31,208.28,165.42,70.89,40.79,32.63,24.47,815.72,2015,2022,1147.8,True
HP-179,225.48,121.19,108.75,84.83,36.36,19.73,15.79,11.84,394.7,2020,2022,435.16,True
HP-180,384.69,209.5,170.36,146.65,62.85,39.15,31.32,23.49,782.95,2004,2022,1884.26,True
HP-181,206.21,119.66,99.33,83.76,35.9,20.82,16.65,12.49,416.31,2002,2022,1104.59,True
HP-182,456.57,296.83,218.52,207.78,89.05,45.25,36.2,27.15,904.95,2013,2022,1403.87,True
HP-183,286.65,156.61,117.05,109.63,46.98,29.68,23.74,17.81,593.55,2005,2022,1360.43,True
HP-184,346.34,186.39,151.41,130.47,55.92,34.32,27.46,20.59,686.46,2006,2022,1498.46,True
HP-185,221.16,118.78,95.48,83.15,35.63,21.2,16.96,12.72,424.08,2009,2022,799.67,True
HP-186,217.15,127.65,108.06,89.36,38.3,20.19,16.15,12.11,403.79,2003,2022,1020.36,True
HP-187,322.24,172.4,132.71,120.68,51.72,30.22,24.18,18.13,604.48,2015,2022,850.56,True
HP-188,306.54,172.88,127.83,121.02,51.86,27.11,21.69,16.27,542.3,2012,2022,883.35,True
HP-189,308.07,181.21,130.01,126.85,54.36,31.13,24.91,18.68,622.63,2005,2022,1427.08,True
HP-190,457.64,216.78,199.18,151.75,65.03,43.27,34.61,25.96,865.37,2021,2022,908.64,True
HP-191,172.25,111.13,76.15,77.79,33.34,16.07,12.86,9.64,321.43,2009,2022,606.1,True
HP-192,286.72,170.38,138.56,119.27,51.11,28.65,22.92,17.19,572.94,2004,2022,1378.85,True
HP-193,464.04,315.1,209.98,220.57,94.53,46.3,37.04,27.78,926.08,2003,2022,2340.16,True
HP-194,335.65,203.12,135.25,142.18,60.94,32.43,25.95,19.46,648.69,2020,2022,715.18,True
HP-195,318.15,189.67,135.26,132.77,56.9,27.71,22.17,16.63,554.21,2013,2022,859.76,True
HP-196,225.44,136.38,95.31,95.47,40.91,20.2,16.16,12.12,403.91,2017,2022,515.5,True
HP-197,365.72,223.45,159.34,156.41,67.03,34.53,27.63,20.72,690.69,2022,2022,690.69,True
HP-198,298.93,152.64,144.33,106.85,45.79,26.91,21.53,16.15,538.18,2022,2022,538.18,True
HP-199,463.63,274.12,189.14,191.88,82.24,44.51,35.6,26.7,890.12,2021,2022,934.63,True
HP-200,271.24,146.67,112.84,102.67,44.0,23.49,18.79,14.09,469.8,2019,2022,543.85,True
HP-201,31.52,17.39,14.52,12.17,5.22,2.76,2.21,1.65,55.15,2018,2022,67.04,True
HP-202,75.89,45.76,37.27,32.03,13.73,6.63,5.31,3.98,132.65,2010,2022,238.22,True
HP-203,71.92,40.04,30.77,28.03,12.01,7.33,5.86,4.4,146.59,2018,2022,178.18,True
HP-204,125.36,55.98,58.1,39.19,16.79,11.04,8.83,6.62,220.79,2011,2022,377.63,True
HP-205,24.7,17.16,11.51,12.01,5.15,2.48,1.99,1.49,49.64,2009,2022,93.6,True
HP-206,96.1,59.52,41.23,41.66,17.86,9.25,7.4,5.55,184.97,2001,2022,515.32,True
HP-207,82.07,45.0,38.6,31.5,13.5,8.08,6.46,4.85,161.61,2005,2022,370.41,True
HP-208,35.33,21.84,15.64,15.29,6.55,3.19,2.55,1.92,63.85,2018,2022,77.61,True
HP-209,24.57,12.12,11.36,8.48,3.64,2.34,1.87,1.4,46.72,2004,2022,112.44,True
HP-210,37.71,18.59,16.57,13.01,5.58,3.39,2.71,2.03,67.83,2008,2022,134.3,True
HP-211,91.26,57.72,36.78,40.4,17.32,9.39,7.52,5.64,187.88,2017,2022,239.79,True
HP-212,90.46,54.45,43.8,38.12,16.34,8.68,6.95,5.21,173.66,2019,2022,201.03,True
HP-213,102.36,71.04,46.93,49.73,21.31,10.3,8.24,6.18,205.94,2005,2022,472.02,True
HP-214,37.39,25.51,18.42,17.86,7.65,3.71,2.97,2.23,74.27,2008,2022,147.05,True
HP-215,68.06,36.95,31.82,25.87,11.09,6.64,5.31,3.98,132.75,2004,2022,319.48,True
HP-216,12.0,7.44,5.52,5.21,2.23,1.19,0.95,0.71,23.73,2016,2022,31.8,True
HP-217,102.53,51.25,45.71,35.88,15.38,9.01,7.2,5.4,180.11,2021,2022,189.12,True
HP-218,41.24,23.13,16.9,16.19,6.94,3.69,2.95,2.21,73.78,2010,2022,132.5,True
HP-219,47.22,25.03,19.73,17.52,7.51,4.08,3.26,2.45,81.52,2010,2022,146.4,True
HP-220,79.21,38.93,34.62,27.25,11.68,7.51,6.01,4.51,150.24,2020,2022,165.64,True
HP-221,52.18,30.95,24.66,21.66,9.29,4.65,3.72,2.79,92.99,2010,2022,167.0,True
HP-222,20.48,11.05,9.93,7.74,3.31,2.02,1.62,1.21,40.49,2013,2022,62.81,True
HP-223,56.2,35.49,23.87,24.84,10.65,5.79,4.63,3.47,115.74,2016,2022,155.1,True
HP-224,32.89,15.96,14.06,11.17,4.79,2.9,2.32,1.74,58.04,2002,2022,154.0,True
HP-225,97.61,51.92,43.2,36.34,15.58,8.8,7.04,5.28,176.03,2013,2022,273.08,True
HP-226,87.95,49.21,42.43,34.45,14.76,7.61,6.09,4.57,152.24,2006,2022,332.32,True
HP-227,46.78,25.91,23.27,18.14,7.77,4.23,3.38,2.54,84.53,2022,2022,84.53,True
HP-228,68.85,47.66,33.93,33.36,14.3,7.07,5.66,4.24,141.4,2020,2022,155.89,True
HP-229,11.33,6.88,5.52,4.82,2.06,1.04,0.83,0.62,20.79,2012,2022,33.86,True
HP-230,84.17,59.39,34.44,41.57,17.82,8.74,6.99,5.24,174.82,2004,2022,420.73,True
HP-231,115.78,72.02,46.48,50.41,21.61,10.35,8.28,6.21,206.97,2004,2022,498.1,True
HP-232,68.89,34.27,32.24,23.99,10.28,6.49,5.19,3.89,129.72,2014,2022,191.66,True
HP-233,45.08,23.93,18.9,16.75,7.18,4.14,3.31,2.48,82.78,2021,2022,86.92,True
HP-234,97.75,52.1,39.65,36.47,15.63,8.88,7.11,5.33,177.68,2021,2022,186.56,True
HP-235,90.15,42.89,37.69,30.02,12.87,7.9,6.32,4.74,157.93,2007,2022,328.33,True
HP-236,108.35,55.23,49.64,38.66,16.57,10.58,8.46,6.34,211.5,2008,2022,418.76,True
HP-237,70.65,41.79,34.64,29.25,12.54,6.79,5.43,4.08,135.87,2008,2022,269.01,True
HP-238,40.9,26.25,18.12,18.38,7.88,4.24,3.39,2.54,84.73,2010,2022,152.16,True
HP-239,86.32,50.24,36.48,35.17,15.07,8.66,6.93,5.2,173.17,2004,2022,416.75,True
HP-240,11.73,7.37,5.09,5.16,2.21,1.18,0.95,0.71,23.68,2016,2022,31.73,True
HP-241,35.26,17.22,16.18,12.05,5.17,3.07,2.45,1.84,61.36,2001,2022,170.95,True
HP-242,133.19,82.24,57.4,57.57,24.67,12.09,9.67,7.25,241.72,2021,2022,253.81,True
HP-243,88.11,41.18,39.09,28.83,12.35,8.02,6.42,4.81,160.38,2008,2022,317.54,True
HP-244,94.51,43.08,42.96,30.16,12.92,8.5,6.8,5.1,169.92,2008,2022,336.43,True
HP-245,64.71,43.71,30.15,30.6,13.11,6.48,5.18,3.89,129.56,2011,2022,221.59,True
HP-246,47.51,23.68,22.54,16.58,7.1,4.14,3.32,2.49,82.89,2001,2022,230.93,True
