project_id,project_name,project_category,project_type,state,district,river,river_basin,terrain_type,development_type,climate_zone,elevation_m,capacity_mw,number_of_units,unit_capacity_mw,commissioning_year,project_life_years,gross_head_m,net_head_m,design_flow_m3s,minimum_flow_m3s,maximum_flow_m3s,annual_inflow_mcm,catchment_area_km2,reservoir_volume_mcm,dam_type,dam_height_m,dam_length_m,reservoir_area_km2,tunnel_length_km,tunnel_diameter_m,penstock_length_m,penstock_diameter_m,powerhouse_type,powerhouse_area_m2,excavation_volume_m3,turbine_type,turbine_efficiency,generator_efficiency,design_efficiency,number_of_turbines,number_of_generators,transformer_count,transformer_capacity_mva,crane_capacity_t,penstock_sections,project_complexity_score,terrain_complexity_score,civil_complexity_score,hydro_complexity_score,annual_generation_gwh,capacity_factor,plant_load_factor,availability_factor,annual_operating_hours,construction_duration_months,civil_construction_months,dam_construction_months,tunnel_construction_months,powerhouse_construction_months,electromechanical_installation_months,concrete_m3_per_mw,cement_mt_per_mw,reinforcement_steel_mt_per_mw,structural_steel_mt_per_mw,penstock_steel_mt_per_mw,excavation_m3_per_mw,synthetic_generation_version,generation_seed,source_type
HP-011,Ratle Hydro Project Unit-11,Large Hydro,run-of-river,Telangana,Nalgonda,Wainganga,Godavari Basin,Mountainous,Greenfield,Himalayan Sub-tropical,1113.2,594.37,6,99.0617,2008,40,168.7,162.9,423.26,84.648,552.349,11880.81,11827.9,10.0,Barrage/Weir,33.5,133.9,1.0,2.41,5.07,282.5,5.85,Semi-underground,10388.1,9647763.8,Francis,0.929,0.958,0.89,6,6,7,128.2,243.6,4,3.6,2.7,3.4,4.6,2185.72,0.419,41.9,0.888,7778.9,93.1,56.6,41.0,33.2,32.0,20.5,1879.13,657.7,37.45,11.86,12.57,16231.92,v1.0,42,synthetic
HP-012,Sawra Kuddu Hydro Project Unit-12,Large Hydro,run-of-river,Madhya Pradesh,Hoshangabad,Godavari,Godavari Basin,Mountainous,Brownfield,Himalayan Sub-tropical,2107.4,913.98,4,228.495,2013,40,93.8,86.5,1200.12,204.898,1596.935,35586.66,14499.4,4.4,Concrete Gravity,28.2,150.1,,18.51,8.15,488.4,3.73,Underground,9861.2,14747549.1,Francis,0.928,0.973,0.903,4,4,5,295.7,140.0,4,3.2,3.4,3.7,2.4,3956.13,0.497,49.7,0.892,7813.9,86.0,52.4,37.7,33.0,25.9,18.8,1745.63,610.97,28.1,6.99,9.55,16135.53,v1.0,42,synthetic
HP-013,Koyna Hydro Project Unit-13,Large Hydro,pumped,Karnataka,Uttara Kannada,Tungabhadra,Krishna Basin,Gorge,Greenfield,Himalayan Sub-tropical,1815.8,681.86,6,113.6433,2013,50,320.7,305.4,247.47,30.452,350.513,5379.67,11271.8,14.3,Concrete Gravity,10.6,43.3,1.43,11.68,9.07,1175.4,5.12,Surface,12140.6,11122843.5,Pelton,0.943,0.959,0.904,6,6,7,147.07,,4,2.9,2.7,2.3,3.7,2372.45,0.393,39.3,0.886,7761.4,89.5,56.0,32.2,27.0,24.9,22.2,1845.66,645.98,31.24,6.46,20.33,16312.5,v1.0,42,synthetic
HP-014,Koldam Hydro Project Unit-14,Large Hydro,run-of-river,Madhya Pradesh,Khandwa,Godavari,Godavari Basin,Mountainous,Greenfield,Tropical,467.2,1641.19,6,273.5317,2019,50,443.3,425.0,430.434,62.1,627.594,14850.39,4928.0,9.5,Concrete Gravity,33.8,118.2,0.95,17.25,8.38,427.9,2.91,Underground,15982.1,19534717.4,Pelton,0.913,0.95,0.867,6,6,7,353.98,99.2,4,2.9,3.0,3.4,2.3,7928.38,0.549,54.9,0.901,7892.8,104.9,66.0,43.3,41.9,36.0,25.4,1085.1,379.78,20.57,6.3,6.2,11902.78,v1.0,42,synthetic
HP-015,Sutlej Hydro Project Unit-15,Large Hydro,run-of-river,Madhya Pradesh,Hoshangabad,Pranahita,Godavari Basin,Hilly,Greenfield,Alpine,3022.3,990.58,8,123.8225,2017,40,263.3,247.5,444.289,71.251,536.594,8930.04,10277.3,13.0,Concrete Gravity,33.5,267.9,,15.45,5.89,192.2,6.28,Surface,13065.4,15714799.4,Francis,0.928,0.958,0.889,8,8,9,160.24,249.2,4,3.9,4.8,2.8,4.1,4108.48,0.478,47.8,0.889,7787.6,80.5,47.6,32.2,32.2,23.3,22.2,1654.81,579.18,29.0,7.84,8.64,15864.24,v1.0,42,synthetic
HP-016,Ratle Hydro Project Unit-16,Large Hydro,run-of-river,Gujarat,Narmada,Tawa,Narmada Basin,Hilly,Greenfield,Himalayan Sub-tropical,2038.8,456.49,3,152.1633,2006,40,320.1,295.6,176.107,19.749,262.742,4805.75,3969.8,2.8,Concrete Gravity,5.4,27.2,0.28,6.49,9.89,269.1,7.24,Semi-underground,7450.6,9583046.1,Pelton,0.93,0.971,0.903,3,3,4,196.92,299.7,3,3.2,3.2,2.2,4.1,2068.14,0.512,51.2,0.895,7840.2,81.0,51.7,35.3,27.7,26.6,19.6,2566.61,898.31,46.45,10.99,16.58,20992.89,v1.0,42,synthetic
HP-017,Tehri Hydro Project Unit-17,Large Hydro,pumped,Telangana,Bhadradri Kothagudem,Wainganga,Godavari Basin,Gorge,Greenfield,Alpine,2991.8,731.7,4,182.925,2022,35,331.6,317.8,245.216,42.783,346.139,7631.41,6098.1,10.1,Concrete Gravity,34.4,188.4,1.01,2.74,7.52,769.7,6.85,Surface,6583.2,9800907.7,Pelton,0.946,0.95,0.899,4,4,5,236.73,93.3,4,3.7,2.0,4.4,4.6,2838.9,0.444,44.4,0.916,8024.2,68.0,39.6,28.4,25.8,23.5,17.9,1465.43,512.9,29.69,9.42,17.59,13394.71,v1.0,42,synthetic
HP-018,Rongtong Hydro Project Unit-18,Large Hydro,storage,Odisha,Koraput,Wainganga,Godavari Basin,Gorge,Greenfield,Alpine,2251.4,1437.42,4,359.355,2001,40,446.0,426.1,371.578,56.895,508.98,11431.13,2964.8,215.8,Earthfill,157.7,527.2,40.34,4.86,7.23,416.7,3.78,Underground,24420.5,17647325.7,Pelton,0.929,0.959,0.891,4,4,5,465.05,,4,3.1,3.3,1.5,4.5,7685.62,0.611,61.1,0.922,8076.7,88.7,57.6,38.6,28.0,25.6,20.9,1185.69,414.99,24.45,5.99,7.59,12277.08,v1.0,42,synthetic
HP-019,Nagarjunasagar Hydro Project Unit-19,Large Hydro,storage,Assam,Karbi Anglong,Dibang,Brahmaputra Basin,Hilly,Greenfield,Tropical,778.9,1573.93,4,393.4825,2019,40,385.7,360.2,495.864,80.739,729.426,13883.1,4979.5,1113.2,Rockfill,179.1,504.3,104.94,16.95,5.23,288.8,5.2,Surface,20946.7,20503102.5,Pelton,0.947,0.975,0.923,4,4,5,509.21,205.1,4,3.2,2.3,4.3,2.9,6426.71,0.461,46.1,0.87,7621.2,95.7,61.9,41.7,39.1,33.3,28.4,1300.92,455.32,22.92,7.15,7.05,13026.69,v1.0,42,synthetic
HP-020,Koteshwar Hydro Project Unit-20,Large Hydro,storage,Madhya Pradesh,Jabalpur,Wainganga,Godavari Basin,Gorge,Greenfield,Himalayan Sub-tropical,2020.6,305.95,5,61.19,2019,35,370.3,347.4,100.278,16.538,123.844,1667.23,1039.6,2489.9,Concrete Gravity,58.5,327.9,175.16,11.07,8.69,930.3,7.23,Surface,4244.6,9083982.0,Pelton,0.939,0.977,0.917,5,5,6,79.19,,4,3.8,3.7,4.3,3.4,1461.41,0.546,54.6,0.88,7708.8,81.8,48.0,36.7,29.0,27.8,21.6,4197.93,1469.27,61.95,14.99,46.12,29691.07,v1.0,42,synthetic
HP-021,Ratle Hydro Project Unit-21,Large Hydro,storage,Himachal Pradesh,Kullu,Jhelum,Indus Basin,Mountainous,Brownfield,Tropical,736.1,1594.93,8,199.3663,2006,50,150.1,139.1,1267.046,240.806,1521.533,40558.67,2598.0,342.4,Rockfill,191.7,553.0,,4.64,6.51,977.9,5.44,Underground,15538.5,18384681.2,Francis,0.912,0.972,0.886,8,8,9,258.0,31.3,4,3.4,3.2,4.0,2.9,5733.1,0.406,40.6,0.905,7927.8,84.2,52.9,36.8,31.8,24.9,25.0,1101.55,385.54,22.7,6.29,10.57,11526.95,v1.0,42,synthetic
HP-022,Parbati Hydro Project Unit-22,Large Hydro,pumped,Uttar Pradesh,Sonbhadra,Alaknanda,Ganga Basin,Hilly,Brownfield,Alpine,2307.7,622.6,6,103.7667,2019,50,190.4,179.9,397.458,44.293,555.016,12867.94,8494.4,13.0,Trench Intake,18.5,76.6,1.3,8.78,7.17,586.8,2.98,Surface,6926.6,10100769.1,Francis,0.92,0.979,0.901,6,6,7,134.29,40.0,4,2.8,3.8,3.0,1.6,3021.71,0.559,55.9,0.894,7831.4,70.7,45.6,28.7,28.3,20.6,20.3,1876.63,656.82,32.81,8.69,11.6,16223.53,v1.0,42,synthetic
HP-023,Kiru Hydro Project Unit-23,Large Hydro,pumped,Telangana,Nalgonda,Wainganga,Godavari Basin,Gorge,Greenfield,Alpine,2464.1,765.28,8,95.66,2007,40,471.0,433.9,195.045,32.04,235.59,6504.31,12527.2,4.4,Barrage/Weir,13.2,89.9,0.44,20.43,6.46,340.5,3.22,Semi-underground,9189.4,13798107.5,Pelton,0.916,0.969,0.888,8,8,9,123.8,43.0,4,2.5,1.6,4.0,2.0,3165.0,0.469,46.9,0.925,8103.0,94.7,52.9,33.6,30.6,29.5,25.3,2036.23,712.68,30.64,7.7,9.18,18030.14,v1.0,42,synthetic
HP-024,Chutak Hydro Project Unit-24,Large Hydro,storage,Karnataka,Chikmagalur,Koyna,Krishna Basin,Gorge,Brownfield,Tropical,269.8,686.07,4,171.5175,2009,35,431.3,401.9,188.757,28.264,250.895,3437.72,8222.4,590.7,Rockfill,53.7,296.2,33.28,2.37,10.45,1055.2,5.38,Semi-underground,8263.2,10742928.3,Pelton,0.936,0.959,0.898,4,4,5,221.96,235.1,4,3.2,2.8,4.8,1.9,3276.47,0.546,54.6,0.893,7822.7,70.4,41.8,27.5,22.0,23.7,19.3,1767.12,618.49,35.47,9.54,20.47,15658.65,v1.0,42,synthetic
HP-025,Kiru Hydro Project Unit-25,Large Hydro,storage,Himachal Pradesh,Mandi,Beas,Indus Basin,Mountainous,Brownfield,Tropical,573.9,378.33,3,126.11,2005,50,292.0,272.2,152.524,29.348,208.858,4238.47,9555.6,2163.3,Rockfill,68.7,188.2,251.66,8.06,5.92,209.0,5.04,Surface,4773.6,8176337.9,Pelton,0.912,0.961,0.876,3,3,4,163.2,34.5,3,3.5,2.4,3.6,4.6,1581.34,0.472,47.2,0.912,7989.1,95.5,52.9,42.1,36.8,25.7,24.9,2979.72,1042.9,46.09,13.33,14.12,21611.66,v1.0,42,synthetic
HP-026,Vyasi Hydro Project Unit-26,Large Hydro,pumped,Assam,Karbi Anglong,Siang,Brahmaputra Basin,Mountainous,Greenfield,Himalayan Sub-tropical,1255.8,1095.78,6,182.63,2012,40,435.0,407.2,313.456,41.835,407.15,8251.9,6105.2,4.2,Concrete Gravity,33.9,203.9,,5.01,4.57,846.8,7.08,Surface,19370.1,13509448.4,Pelton,0.938,0.962,0.902,6,6,7,236.34,49.9,4,3.5,3.5,4.7,2.4,5563.02,0.575,57.5,0.92,8059.2,89.6,55.4,36.1,35.6,26.2,21.2,1195.29,418.35,25.14,8.01,14.17,12328.61,v1.0,42,synthetic
HP-027,Sardar Sarovar Hydro Project Unit-27,Large Hydro,pumped,Kerala,Pathanamthitta,Cauvery,Cauvery Basin,Mountainous,Brownfield,Himalayan Sub-tropical,1267.8,1765.16,4,441.29,2005,50,433.3,402.8,499.769,70.51,701.13,10126.55,6940.9,4.6,Concrete Gravity,28.5,118.8,0.46,6.78,10.76,973.6,7.02,Underground,20614.3,19446125.7,Pelton,0.948,0.98,0.929,4,4,5,571.08,,4,2.6,3.0,2.2,2.6,8829.27,0.576,57.6,0.932,8164.3,75.8,46.6,33.2,29.0,19.7,21.6,919.68,321.89,21.0,7.24,11.01,11016.64,v1.0,42,synthetic
HP-028,Teesta Hydro Project Unit-28,Large Hydro,run-of-river,Arunachal Pradesh,East Siang,Lohit,Brahmaputra Basin,Hilly,Greenfield,Himalayan Sub-tropical,830.9,888.36,4,222.09,2011,35,54.4,50.2,1959.318,350.988,2432.062,41530.13,12531.5,10.6,Barrage/Weir,27.8,148.6,1.06,14.31,10.34,170.0,3.58,Underground,11982.2,12987532.7,Francis,0.939,0.966,0.907,4,4,5,287.41,,4,2.2,1.9,2.3,2.3,4402.04,0.571,57.1,0.901,7892.8,101.4,61.8,35.7,38.3,27.8,21.7,1578.92,552.62,26.5,6.97,7.19,14619.67,v1.0,42,synthetic
HP-029,Bassu Hydro Project Unit-29,Large Hydro,run-of-river,Odisha,Rayagada,Godavari,Godavari Basin,Gorge,Greenfield,Alpine,2416.7,182.81,5,36.562,2002,40,163.0,152.8,138.404,24.313,171.624,3104.96,5408.9,9.8,Concrete Gravity,18.9,122.4,0.98,14.63,9.68,216.3,6.38,Surface,1530.1,8195096.4,Francis,0.918,0.974,0.894,5,5,6,47.32,210.7,4,3.1,4.4,2.4,2.4,793.89,0.494,49.4,0.863,7559.9,82.2,52.3,29.2,32.7,22.8,23.0,6593.81,2307.83,86.58,27.91,29.11,44828.49,v1.0,42,synthetic
HP-030,Vishnugad Pipalkoti Hydro Project Unit-30,Large Hydro,pumped,Tamil Nadu,Central District,Kabini,Cauvery Basin,Mountainous,Brownfield,Himalayan Sub-tropical,1010.7,250.05,3,83.35,2002,40,377.1,360.0,76.883,12.991,100.368,1273.91,13115.5,5.6,Trench Intake,13.2,104.3,0.56,20.96,4.53,819.4,4.32,Semi-underground,3699.3,9529166.7,Pelton,0.948,0.954,0.904,3,3,4,107.86,154.7,3,3.0,3.5,4.1,1.4,1026.77,0.468,46.8,0.894,7831.4,96.2,59.4,42.8,34.2,31.4,24.8,5342.53,1869.89,63.18,20.02,34.46,38109.04,v1.0,42,synthetic
HP-031,Idukki Hydro Project Unit-31,Large Hydro,storage,Gujarat,Narmada,Narmada,Narmada Basin,Hilly,Greenfield,Alpine,2251.3,1437.7,6,239.6167,2006,35,109.2,105.5,1583.507,316.268,2285.244,53959.28,14805.3,1676.2,Concrete Gravity,144.5,508.1,159.23,5.15,8.97,885.2,3.37,Surface,18816.0,16622288.1,Francis,0.915,0.956,0.875,6,6,7,310.09,109.9,4,2.5,2.0,4.1,1.4,7235.9,0.573,57.3,0.91,7971.6,81.2,47.2,36.5,33.1,24.6,22.5,1117.17,391.01,22.87,5.84,8.67,11561.72,v1.0,42,synthetic
HP-032,Vishnugad Pipalkoti Hydro Project Unit-32,Large Hydro,storage,Gujarat,Narmada,Narmada,Narmada Basin,Mountainous,Brownfield,Tropical,574.3,1055.49,4,263.8725,2005,40,516.7,495.4,232.132,29.807,284.05,4522.48,14367.1,700.6,Rockfill,156.7,443.0,102.39,13.84,8.06,329.8,5.62,Semi-underground,12007.5,15578466.3,Pelton,0.947,0.951,0.901,4,4,5,341.48,144.7,4,3.5,4.4,1.5,4.5,3996.37,0.431,43.1,0.911,7980.4,87.7,56.0,35.5,34.8,24.6,19.7,1644.75,575.66,27.26,6.53,9.08,14759.46,v1.0,42,synthetic
HP-033,Tehri Hydro Project Unit-33,Large Hydro,storage,Telangana,Bhadradri Kothagudem,Pranahita,Godavari Basin,Gorge,Brownfield,Himalayan Sub-tropical,1841.1,1953.21,6,325.535,2007,40,102.5,97.1,2235.347,434.861,3261.928,52932.52,14458.9,2257.7,Rockfill,217.4,1092.2,177.17,5.19,10.97,640.2,6.9,Surface,16078.4,19153099.0,Francis,0.948,0.965,0.915,6,6,7,421.28,,4,3.1,4.7,2.0,2.5,10122.04,0.592,59.2,0.919,8050.4,102.0,64.7,40.1,44.1,32.9,28.2,904.54,316.59,18.71,5.13,8.06,9805.96,v1.0,42,synthetic
HP-034,Parbati Hydro Project Unit-34,Large Hydro,run-of-river,Gujarat,Narmada,Tawa,Narmada Basin,Gorge,Greenfield,Himalayan Sub-tropical,1829.3,1952.66,6,325.4433,2004,35,347.3,329.9,661.689,113.386,953.619,16935.67,2659.6,13.5,Barrage/Weir,14.8,89.8,1.35,5.25,10.93,926.3,4.0,Surface,25527.4,20041321.4,Pelton,0.93,0.965,0.897,6,6,7,421.16,234.6,4,2.6,3.4,3.0,1.4,8289.12,0.48,48.0,0.888,7778.9,91.8,56.3,37.6,31.2,29.0,27.3,815.06,285.27,19.62,4.25,7.74,10263.6,v1.0,42,synthetic
HP-035,Budhil Hydro Project Unit-35,Large Hydro,storage,Meghalaya,West Khasi Hills,Siang,Brahmaputra Basin,Mountainous,Greenfield,Himalayan Sub-tropical,1467.2,1901.6,6,316.9333,2004,40,392.2,372.4,578.356,108.316,821.7,9801.09,2502.2,534.2,Rockfill,229.6,958.4,56.9,21.13,7.22,709.8,5.23,Semi-underground,29893.0,22246925.5,Pelton,0.939,0.969,0.91,6,6,7,410.15,247.3,4,3.1,3.8,3.5,2.0,7194.46,0.434,43.4,0.948,8304.5,108.5,61.9,45.6,37.7,30.9,31.8,1161.21,406.42,19.53,5.54,7.79,11699.06,v1.0,42,synthetic
HP-036,Nagarjunasagar Hydro Project Unit-36,Large Hydro,storage,Telangana,Nalgonda,Pranahita,Godavari Basin,Gorge,Greenfield,Himalayan Sub-tropical,2133.5,1915.1,8,239.3875,2015,35,143.1,135.0,1566.191,178.119,2168.71,42086.33,4015.6,1681.2,RCC,161.2,432.6,188.29,16.35,4.7,959.3,2.53,Semi-underground,34048.8,23064207.8,Francis,0.916,0.97,0.889,8,8,9,309.8,64.0,4,3.6,4.4,3.0,3.5,7564.24,0.448,44.8,0.865,7577.4,108.8,62.4,46.1,46.5,27.6,31.8,1112.76,389.47,21.13,5.14,7.17,12043.34,v1.0,42,synthetic
HP-037,Omkareshwar Hydro Project Unit-37,Large Hydro,storage,Karnataka,Shivamogga,Krishna,Krishna Basin,Gorge,Greenfield,Himalayan Sub-tropical,1508.5,1179.17,8,147.3963,2017,50,291.9,269.4,478.142,57.033,589.929,9009.46,7154.3,658.0,RCC,42.7,157.1,62.02,15.49,5.35,791.5,5.69,Surface,19185.0,15926385.0,Pelton,0.931,0.953,0.887,8,8,9,190.75,214.0,4,2.5,3.7,1.9,1.8,4603.85,0.443,44.3,0.881,7717.6,105.3,61.1,44.5,31.8,33.2,28.4,1358.82,475.59,24.06,5.71,11.48,13506.44,v1.0,42,synthetic
HP-038,Bhabha Hydro Project Unit-38,Large Hydro,storage,Kerala,Wayanad,Kabini,Cauvery Basin,Gorge,Greenfield,Himalayan Sub-tropical,1510.4,519.69,8,64.9613,2011,40,398.0,367.9,158.884,29.006,226.975,4550.62,9139.3,1972.7,Earthfill,140.4,528.8,370.05,4.24,9.8,1098.0,3.51,Semi-underground,4936.3,8532439.4,Pelton,0.923,0.966,0.892,8,8,9,84.07,,4,2.4,1.9,2.0,3.3,2613.96,0.574,57.4,0.901,7892.8,91.1,50.6,36.1,38.4,29.4,21.8,2244.84,785.7,36.9,10.21,19.3,16418.33,v1.0,42,synthetic
HP-039,Nagarjunasagar Hydro Project Unit-39,Large Hydro,storage,Odisha,Koraput,Wainganga,Godavari Basin,Hilly,Brownfield,Himalayan Sub-tropical,2102.2,876.91,6,146.1517,2011,40,268.8,248.4,386.957,76.004,565.873,7075.27,12974.2,314.2,Earthfill,140.5,709.2,26.21,2.07,4.16,463.3,5.87,Semi-underground,10734.5,12174480.8,Francis,0.925,0.957,0.885,6,6,7,189.14,228.8,4,2.2,3.0,1.8,1.9,2988.73,0.388,38.8,0.919,8050.4,103.8,66.3,38.8,32.2,32.1,25.4,1564.35,547.52,30.49,9.6,11.74,13883.39,v1.0,42,synthetic
HP-040,Budhil Hydro Project Unit-40,Large Hydro,pumped,Telangana,Nalgonda,Pranahita,Godavari Basin,Hilly,Greenfield,Himalayan Sub-tropical,834.4,705.99,4,176.4975,2021,50,152.7,145.8,576.121,108.294,848.899,15908.31,6694.4,7.7,Trench Intake,33.2,211.0,,17.72,6.23,587.1,3.25,Surface,6946.1,12915848.9,Francis,0.932,0.957,0.892,4,4,5,228.41,,4,2.8,2.2,4.4,1.8,2964.49,0.479,47.9,0.897,7857.7,89.1,51.3,34.1,27.8,26.3,21.1,2124.74,743.66,32.35,6.75,11.42,18294.66,v1.0,42,synthetic
