project_id,year,generation_gwh,capacity_factor,availability_factor,annual_inflow_mcm,synthetic_flag
HP-313,2005,10.11,0.609,0.874,15.81,True
HP-314,2015,6.77,0.435,0.9,31.15,True
HP-315,2015,4.44,0.523,0.905,35.39,True
HP-316,2023,3.74,0.552,0.928,126.95,True
HP-317,2007,5.04,0.522,0.886,19.61,True
HP-318,2006,5.72,0.385,0.935,37.91,True
HP-319,2017,5.33,0.57,0.914,27.09,True
HP-320,2018,3.7,0.472,0.882,43.26,True
HP-321,2009,4.61,0.466,0.928,28.36,True
HP-322,2012,3.26,0.511,0.864,14.92,True
HP-323,2023,6.71,0.603,0.94,47.91,True
HP-324,2013,6.01,0.577,0.944,278.97,True
HP-325,2013,2.61,0.538,0.888,6.78,True
HP-326,2019,5.81,0.429,0.883,19.87,True
HP-327,2017,1.65,0.564,0.926,4.28,True
HP-328,2016,4.48,0.453,0.863,15.78,True
HP-329,2018,9.55,0.573,0.911,33.52,True
HP-330,2023,2.82,0.392,0.912,44.22,True
HP-331,2012,0.56,0.542,0.869,1.88,True
HP-332,2003,4.16,0.515,0.878,185.08,True
HP-333,2012,10.54,0.615,0.91,53.84,True
HP-334,2018,4.17,0.578,0.891,8.93,True
HP-335,2009,4.68,0.618,0.867,16.06,True
HP-336,2011,8.4,0.568,0.911,43.44,True
HP-337,2016,9.79,0.578,0.89,24.67,True
HP-338,2021,6.56,0.39,0.917,43.5,True
HP-339,2006,6.64,0.548,0.865,232.51,True
HP-340,2015,0.97,0.388,0.879,4.87,True
HP-341,2005,0.41,0.61,0.92,8.19,True
HP-342,2011,0.05,0.439,0.917,2.65,True
HP-343,2011,0.27,0.41,0.942,2.11,True
HP-344,2019,0.29,0.564,0.923,3.2,True
HP-345,2006,0.27,0.427,0.861,14.44,True
HP-346,2017,0.38,0.592,0.922,4.06,True
HP-347,2003,0.16,0.449,0.929,2.22,True
HP-348,2014,0.08,0.558,0.944,5.56,True
HP-349,2008,0.35,0.595,0.932,2.54,True
HP-350,2006,0.23,0.589,0.885,5.22,True
HP-351,2015,0.32,0.467,0.947,4.15,True
HP-352,2005,0.21,0.538,0.864,1.42,True
HP-353,2006,0.2,0.416,0.874,6.02,True
HP-354,2012,0.14,0.594,0.91,2.21,True
HP-355,2007,0.09,0.577,0.916,0.71,True
HP-356,2022,0.05,0.391,0.889,2.54,True
HP-357,2012,0.46,0.535,0.897,33.38,True
HP-358,2012,0.49,0.582,0.93,3.63,True
HP-359,2010,0.15,0.536,0.872,2.25,True
HP-360,2020,0.32,0.586,0.885,7.4,True
HP-361,2004,0.38,0.439,0.864,13.28,True
HP-362,2017,0.15,0.469,0.94,2.26,True
HP-363,2023,0.18,0.443,0.949,2.96,True
HP-364,2005,0.1,0.495,0.915,0.84,True
HP-365,2005,0.11,0.491,0.93,7.56,True
HP-366,2021,0.2,0.411,0.868,5.93,True
HP-367,2008,0.12,0.407,0.876,4.92,True
HP-368,2020,0.15,0.523,0.888,1.52,True
HP-369,2005,0.17,0.484,0.867,3.26,True
HP-370,2004,0.42,0.581,0.921,4.05,True
HP-371,2007,0.27,0.402,0.938,3.4,True
HP-372,2006,0.2,0.528,0.919,22.4,True
HP-373,2014,0.28,0.404,0.909,26.99,True
HP-374,2019,0.29,0.499,0.926,42.75,True
HP-375,2006,0.11,0.381,0.93,2.93,True
HP-376,2021,0.12,0.49,0.896,4.37,True
HP-377,2020,0.24,0.535,0.862,3.18,True
HP-378,2021,0.05,0.389,0.873,5.54,True
HP-379,2009,0.22,0.381,0.882,5.7,True
HP-380,2011,0.15,0.493,0.929,4.21,True
HP-381,2011,0.01,0.424,0.922,0.15,True
HP-382,2013,0.01,0.435,0.862,0.9,True
HP-383,2012,0.01,0.56,0.908,0.29,True
HP-384,2014,0.0,0.578,0.894,0.1,True
HP-385,2018,0.01,0.429,0.928,0.21,True
HP-386,2008,0.01,0.44,0.876,0.16,True
HP-387,2004,0.02,0.587,0.919,0.65,True
HP-388,2015,0.02,0.611,0.88,0.18,True
HP-389,2009,0.01,0.394,0.903,0.09,True
HP-390,2010,0.0,0.437,0.94,0.14,True
HP-391,2003,0.02,0.494,0.861,0.18,True
HP-392,2003,0.01,0.608,0.934,0.05,True
HP-393,2018,0.02,0.557,0.929,0.14,True
HP-394,2017,0.0,0.381,0.906,0.1,True
HP-395,2022,0.02,0.58,0.946,0.22,True
HP-396,2008,0.0,0.601,0.886,0.05,True
HP-397,2015,0.02,0.4,0.911,2.87,True
HP-398,2014,0.02,0.611,0.888,0.15,True
HP-399,2014,0.02,0.574,0.887,0.19,True
HP-400,2020,0.02,0.587,0.933,0.23,True
