project_id,material,quantity,unit,work_category,quantity_per_mw,data_type,synthetic_flag
HP-013,Excavation,11122843.5,m3,Civil,16312.5,synthetic,True
HP-013,Rock Excavation,5005279.6,m3,Civil,7340.63,synthetic,True
HP-013,Earth Excavation,6117563.9,m3,Civil,8971.88,synthetic,True
HP-013,Grouting Cement,35237.6,MT,Civil,51.68,synthetic,True
HP-013,Shotcrete,151018.1,m3,Civil,221.48,synthetic,True
HP-013,Lining Concrete,314621.0,m3,Civil,461.42,synthetic,True
HP-013,Gates Steel,1065.1,MT,Hydromechanical,1.56,synthetic,True
HP-013,Embedded Steel,660.9,MT,Civil,0.97,synthetic,True
HP-014,Concrete,1780850.7,m3,Civil,1085.1,synthetic,True
HP-014,Cement,623297.7,MT,Civil,379.78,synthetic,True
HP-014,Reinforcement Steel,33763.1,MT,Civil,20.57,synthetic,True
HP-014,Structural Steel,10333.0,MT,Civil,6.3,synthetic,True
HP-014,Penstock Steel,10173.0,MT,Hydromechanical,6.2,synthetic,True
HP-014,Aggregate,1513723.1,m3,Civil,922.33,synthetic,True
HP-014,Sand,801382.8,m3,Civil,488.29,synthetic,True
HP-014,Excavation,19534717.4,m3,Civil,11902.78,synthetic,True
HP-014,Rock Excavation,14651038.0,m3,Civil,8927.08,synthetic,True
HP-014,Earth Excavation,4883679.4,m3,Civil,2975.69,synthetic,True
HP-014,Grouting Cement,49863.8,MT,Civil,30.38,synthetic,True
HP-014,Shotcrete,213702.1,m3,Civil,130.21,synthetic,True
HP-014,Lining Concrete,445212.7,m3,Civil,271.27,synthetic,True
HP-014,Gates Steel,1688.2,MT,Hydromechanical,1.03,synthetic,True
HP-014,Embedded Steel,1550.0,MT,Civil,0.94,synthetic,True
HP-015,Concrete,1639221.6,m3,Civil,1654.81,synthetic,True
HP-015,Cement,573727.6,MT,Civil,579.18,synthetic,True
HP-015,Reinforcement Steel,28723.3,MT,Civil,29.0,synthetic,True
HP-015,Structural Steel,7769.7,MT,Civil,7.84,synthetic,True
HP-015,Penstock Steel,8563.0,MT,Hydromechanical,8.64,synthetic,True
HP-015,Aggregate,1393338.4,m3,Civil,1406.59,synthetic,True
HP-015,Sand,737649.7,m3,Civil,744.66,synthetic,True
HP-015,Excavation,15714799.4,m3,Civil,15864.24,synthetic,True
HP-015,Rock Excavation,7071659.7,m3,Civil,7138.91,synthetic,True
HP-015,Earth Excavation,8643139.7,m3,Civil,8725.33,synthetic,True
HP-015,Grouting Cement,45898.2,MT,Civil,46.33,synthetic,True
HP-015,Shotcrete,196706.6,m3,Civil,198.58,synthetic,True
HP-015,Lining Concrete,409805.4,m3,Civil,413.7,synthetic,True
HP-015,Gates Steel,1436.2,MT,Hydromechanical,1.45,synthetic,True
HP-015,Embedded Steel,1165.5,MT,Civil,1.18,synthetic,True
HP-016,Concrete,1171631.7,m3,Civil,2566.61,synthetic,True
HP-016,Cement,410071.1,MT,Civil,898.31,synthetic,True
HP-016,Reinforcement Steel,21203.7,MT,Civil,46.45,synthetic,True
HP-016,Structural Steel,5015.9,MT,Civil,10.99,synthetic,True
HP-016,Penstock Steel,7567.2,MT,Hydromechanical,16.58,synthetic,True
HP-016,Aggregate,995886.9,m3,Civil,2181.62,synthetic,True
HP-016,Sand,527234.3,m3,Civil,1154.97,synthetic,True
HP-016,Excavation,9583046.1,m3,Civil,20992.89,synthetic,True
HP-016,Rock Excavation,4312370.7,m3,Civil,9446.8,synthetic,True
HP-016,Earth Excavation,5270675.4,m3,Civil,11546.09,synthetic,True
HP-016,Grouting Cement,32805.7,MT,Civil,71.87,synthetic,True
HP-016,Shotcrete,140595.8,m3,Civil,307.99,synthetic,True
HP-016,Lining Concrete,292907.9,m3,Civil,641.65,synthetic,True
HP-016,Gates Steel,1060.2,MT,Hydromechanical,2.32,synthetic,True
HP-016,Embedded Steel,752.4,MT,Civil,1.65,synthetic,True
HP-017,Concrete,1072257.5,m3,Civil,1465.43,synthetic,True
HP-017,Cement,375290.1,MT,Civil,512.9,synthetic,True
HP-017,Reinforcement Steel,21726.0,MT,Civil,29.69,synthetic,True
HP-017,Structural Steel,6892.1,MT,Civil,9.42,synthetic,True
HP-017,Penstock Steel,12873.6,MT,Hydromechanical,17.59,synthetic,True
HP-017,Aggregate,911418.9,m3,Civil,1245.62,synthetic,True
HP-017,Sand,482515.9,m3,Civil,659.44,synthetic,True
HP-017,Excavation,9800907.7,m3,Civil,13394.71,synthetic,True
HP-017,Rock Excavation,4410408.5,m3,Civil,6027.62,synthetic,True
HP-017,Earth Excavation,5390499.2,m3,Civil,7367.09,synthetic,True
HP-017,Grouting Cement,30023.2,MT,Civil,41.03,synthetic,True
HP-017,Shotcrete,128670.9,m3,Civil,175.85,synthetic,True
HP-017,Lining Concrete,268064.4,m3,Civil,366.36,synthetic,True
HP-017,Gates Steel,1086.3,MT,Hydromechanical,1.48,synthetic,True
HP-017,Embedded Steel,1033.8,MT,Civil,1.41,synthetic,True
HP-018,Concrete,1704338.3,m3,Civil,1185.69,synthetic,True
HP-018,Cement,596518.4,MT,Civil,414.99,synthetic,True
HP-018,Reinforcement Steel,35141.0,MT,Civil,24.45,synthetic,True
HP-018,Structural Steel,8605.1,MT,Civil,5.99,synthetic,True
HP-018,Penstock Steel,10908.6,MT,Hydromechanical,7.59,synthetic,True
HP-018,Aggregate,1448687.6,m3,Civil,1007.84,synthetic,True
HP-018,Sand,766952.2,m3,Civil,533.56,synthetic,True
HP-018,Excavation,17647325.7,m3,Civil,12277.08,synthetic,True
HP-018,Rock Excavation,7941296.6,m3,Civil,5524.69,synthetic,True
HP-018,Earth Excavation,9706029.1,m3,Civil,6752.4,synthetic,True
HP-018,Grouting Cement,47721.5,MT,Civil,33.2,synthetic,True
HP-018,Shotcrete,204520.6,m3,Civil,142.28,synthetic,True
HP-018,Lining Concrete,426084.6,m3,Civil,296.42,synthetic,True
HP-018,Gates Steel,1757.1,MT,Hydromechanical,1.22,synthetic,True
HP-018,Embedded Steel,1290.8,MT,Civil,0.9,synthetic,True
HP-019,Concrete,2047556.4,m3,Civil,1300.92,synthetic,True
HP-019,Cement,716644.7,MT,Civil,455.32,synthetic,True
HP-019,Reinforcement Steel,36080.4,MT,Civil,22.92,synthetic,True
HP-019,Structural Steel,11256.5,MT,Civil,7.15,synthetic,True
HP-019,Penstock Steel,11096.3,MT,Hydromechanical,7.05,synthetic,True
HP-019,Aggregate,1740422.9,m3,Civil,1105.78,synthetic,True
HP-019,Sand,921400.4,m3,Civil,585.41,synthetic,True
HP-019,Excavation,20503102.5,m3,Civil,13026.69,synthetic,True
HP-019,Rock Excavation,9226396.1,m3,Civil,5862.01,synthetic,True
HP-019,Earth Excavation,11276706.4,m3,Civil,7164.68,synthetic,True
HP-019,Grouting Cement,57331.6,MT,Civil,36.43,synthetic,True
HP-019,Shotcrete,245706.8,m3,Civil,156.11,synthetic,True
HP-019,Lining Concrete,511889.1,m3,Civil,325.23,synthetic,True
HP-019,Gates Steel,1804.0,MT,Hydromechanical,1.15,synthetic,True
HP-019,Embedded Steel,1688.5,MT,Civil,1.07,synthetic,True
HP-020,Concrete,1284355.3,m3,Civil,4197.93,synthetic,True
HP-020,Cement,449524.4,MT,Civil,1469.27,synthetic,True
HP-020,Reinforcement Steel,18954.0,MT,Civil,61.95,synthetic,True
HP-020,Structural Steel,4586.1,MT,Civil,14.99,synthetic,True
HP-020,Penstock Steel,14111.9,MT,Hydromechanical,46.12,synthetic,True
HP-020,Aggregate,1091702.0,m3,Civil,3568.24,synthetic,True
HP-020,Sand,577959.9,m3,Civil,1889.07,synthetic,True
HP-020,Excavation,9083982.0,m3,Civil,29691.07,synthetic,True
HP-020,Rock Excavation,4087791.9,m3,Civil,13360.98,synthetic,True
HP-020,Earth Excavation,4996190.1,m3,Civil,16330.09,synthetic,True
HP-020,Grouting Cement,35962.0,MT,Civil,117.54,synthetic,True
HP-020,Shotcrete,154122.6,m3,Civil,503.75,synthetic,True
HP-020,Lining Concrete,321088.8,m3,Civil,1049.48,synthetic,True
HP-020,Gates Steel,947.7,MT,Hydromechanical,3.1,synthetic,True
HP-020,Embedded Steel,687.9,MT,Civil,2.25,synthetic,True
HP-021,Concrete,1756889.3,m3,Civil,1101.55,synthetic,True
HP-021,Cement,614911.3,MT,Civil,385.54,synthetic,True
HP-021,Reinforcement Steel,36212.4,MT,Civil,22.7,synthetic,True
HP-021,Structural Steel,10030.3,MT,Civil,6.29,synthetic,True
HP-021,Penstock Steel,16865.7,MT,Hydromechanical,10.57,synthetic,True
HP-021,Aggregate,1493355.9,m3,Civil,936.31,synthetic,True
HP-021,Sand,790600.2,m3,Civil,495.7,synthetic,True
HP-021,Excavation,18384681.2,m3,Civil,11526.95,synthetic,True
HP-021,Rock Excavation,13788510.9,m3,Civil,8645.21,synthetic,True
HP-021,Earth Excavation,4596170.3,m3,Civil,2881.74,synthetic,True
HP-021,Grouting Cement,49192.9,MT,Civil,30.84,synthetic,True
HP-021,Shotcrete,210826.7,m3,Civil,132.19,synthetic,True
HP-021,Lining Concrete,439222.3,m3,Civil,275.39,synthetic,True
HP-021,Gates Steel,1810.6,MT,Hydromechanical,1.14,synthetic,True
HP-021,Embedded Steel,1504.5,MT,Civil,0.94,synthetic,True
HP-022,Concrete,1168390.3,m3,Civil,1876.63,synthetic,True
HP-022,Cement,408936.6,MT,Civil,656.82,synthetic,True
HP-022,Reinforcement Steel,20425.0,MT,Civil,32.81,synthetic,True
HP-022,Structural Steel,5408.2,MT,Civil,8.69,synthetic,True
HP-022,Penstock Steel,7221.6,MT,Hydromechanical,11.6,synthetic,True
HP-022,Aggregate,993131.8,m3,Civil,1595.14,synthetic,True
HP-022,Sand,525775.6,m3,Civil,844.48,synthetic,True
HP-022,Excavation,10100769.1,m3,Civil,16223.53,synthetic,True
HP-022,Rock Excavation,4545346.1,m3,Civil,7300.59,synthetic,True
HP-022,Earth Excavation,5555423.0,m3,Civil,8922.94,synthetic,True
HP-022,Grouting Cement,32714.9,MT,Civil,52.55,synthetic,True
HP-022,Shotcrete,140206.8,m3,Civil,225.2,synthetic,True
HP-022,Lining Concrete,292097.6,m3,Civil,469.16,synthetic,True
HP-022,Gates Steel,1021.2,MT,Hydromechanical,1.64,synthetic,True
HP-022,Embedded Steel,811.2,MT,Civil,1.3,synthetic,True
HP-023,Concrete,1558287.8,m3,Civil,2036.23,synthetic,True
HP-023,Cement,545400.7,MT,Civil,712.68,synthetic,True
HP-023,Reinforcement Steel,23449.0,MT,Civil,30.64,synthetic,True
HP-023,Structural Steel,5888.9,MT,Civil,7.7,synthetic,True
HP-023,Penstock Steel,7025.7,MT,Hydromechanical,9.18,synthetic,True
HP-023,Aggregate,1324544.6,m3,Civil,1730.8,synthetic,True
HP-023,Sand,701229.5,m3,Civil,916.3,synthetic,True
HP-023,Excavation,13798107.5,m3,Civil,18030.14,synthetic,True
HP-023,Rock Excavation,6209148.4,m3,Civil,8113.56,synthetic,True
HP-023,Earth Excavation,7588959.1,m3,Civil,9916.58,synthetic,True
HP-023,Grouting Cement,43632.1,MT,Civil,57.01,synthetic,True
HP-023,Shotcrete,186994.5,m3,Civil,244.35,synthetic,True
HP-023,Lining Concrete,389572.0,m3,Civil,509.06,synthetic,True
HP-023,Gates Steel,1172.5,MT,Hydromechanical,1.53,synthetic,True
HP-023,Embedded Steel,883.3,MT,Civil,1.15,synthetic,True
HP-024,Concrete,1212369.0,m3,Civil,1767.12,synthetic,True
HP-024,Cement,424329.1,MT,Civil,618.49,synthetic,True
HP-024,Reinforcement Steel,24338.0,MT,Civil,35.47,synthetic,True
HP-024,Structural Steel,6547.3,MT,Civil,9.54,synthetic,True
HP-024,Penstock Steel,14044.2,MT,Hydromechanical,20.47,synthetic,True
HP-024,Aggregate,1030513.7,m3,Civil,1502.05,synthetic,True
HP-024,Sand,545566.1,m3,Civil,795.2,synthetic,True
HP-024,Excavation,10742928.3,m3,Civil,15658.65,synthetic,True
HP-024,Rock Excavation,4834317.7,m3,Civil,7046.39,synthetic,True
HP-024,Earth Excavation,5908610.6,m3,Civil,8612.26,synthetic,True
HP-024,Grouting Cement,33946.3,MT,Civil,49.48,synthetic,True
HP-024,Shotcrete,145484.3,m3,Civil,212.05,synthetic,True
HP-024,Lining Concrete,303092.2,m3,Civil,441.78,synthetic,True
HP-024,Gates Steel,1216.9,MT,Hydromechanical,1.77,synthetic,True
HP-024,Embedded Steel,982.1,MT,Civil,1.43,synthetic,True
HP-025,Concrete,1127318.7,m3,Civil,2979.72,synthetic,True
HP-025,Cement,394561.5,MT,Civil,1042.9,synthetic,True
HP-025,Reinforcement Steel,17438.9,MT,Civil,46.09,synthetic,True
HP-025,Structural Steel,5041.8,MT,Civil,13.33,synthetic,True
HP-025,Penstock Steel,5341.6,MT,Hydromechanical,14.12,synthetic,True
HP-025,Aggregate,958220.9,m3,Civil,2532.76,synthetic,True
HP-025,Sand,507293.4,m3,Civil,1340.88,synthetic,True
HP-025,Excavation,8176337.9,m3,Civil,21611.66,synthetic,True
HP-025,Rock Excavation,6132253.4,m3,Civil,16208.74,synthetic,True
HP-025,Earth Excavation,2044084.5,m3,Civil,5402.91,synthetic,True
HP-025,Grouting Cement,31564.9,MT,Civil,83.43,synthetic,True
HP-025,Shotcrete,135278.2,m3,Civil,357.57,synthetic,True
HP-025,Lining Concrete,281829.7,m3,Civil,744.93,synthetic,True
HP-025,Gates Steel,871.9,MT,Hydromechanical,2.3,synthetic,True
HP-025,Embedded Steel,756.3,MT,Civil,2.0,synthetic,True
HP-026,Concrete,1309772.5,m3,Civil,1195.29,synthetic,True
HP-026,Cement,458420.4,MT,Civil,418.35,synthetic,True
HP-026,Reinforcement Steel,27547.9,MT,Civil,25.14,synthetic,True
HP-026,Structural Steel,8780.9,MT,Civil,8.01,synthetic,True
HP-026,Penstock Steel,15530.1,MT,Hydromechanical,14.17,synthetic,True
HP-026,Aggregate,1113306.6,m3,Civil,1015.99,synthetic,True
HP-026,Sand,589397.6,m3,Civil,537.88,synthetic,True
HP-026,Excavation,13509448.4,m3,Civil,12328.61,synthetic,True
HP-026,Rock Excavation,10132086.3,m3,Civil,9246.46,synthetic,True
HP-026,Earth Excavation,3377362.1,m3,Civil,3082.15,synthetic,True
HP-026,Grouting Cement,36673.6,MT,Civil,33.47,synthetic,True
