project_id,equipment_type,quantity,capacity_per_unit,unit_of_measure,technology
HP-011,Generator,6,99.0617,MW,Synchronous Hydro Generator
HP-011,Main Transformer,7,128.2,MVA,Step-up Power Transformer
HP-011,EOT Crane,2,243.6,Tonne,Overhead EOT Crane
HP-012,Turbine,4,228.495,MW,Francis
HP-012,Generator,4,228.495,MW,Synchronous Hydro Generator
HP-012,Main Transformer,5,295.7,MVA,Step-up Power Transformer
HP-012,EOT Crane,2,140.0,Tonne,Overhead EOT Crane
HP-013,Turbine,6,113.6433,MW,Pelton
HP-013,Generator,6,113.6433,MW,Synchronous Hydro Generator
HP-013,Main Transformer,7,147.07,MVA,Step-up Power Transformer
HP-014,Turbine,6,273.5317,MW,Pelton
HP-014,Generator,6,273.5317,MW,Synchronous Hydro Generator
HP-014,Main Transformer,7,353.98,MVA,Step-up Power Transformer
HP-014,EOT Crane,2,99.2,Tonne,Overhead EOT Crane
HP-015,Turbine,8,123.8225,MW,Francis
HP-015,Generator,8,123.8225,MW,Synchronous Hydro Generator
HP-015,Main Transformer,9,160.24,MVA,Step-up Power Transformer
HP-015,EOT Crane,2,249.2,Tonne,Overhead EOT Crane
HP-016,Turbine,3,152.1633,MW,Pelton
HP-016,Generator,3,152.1633,MW,Synchronous Hydro Generator
HP-016,Main Transformer,4,196.92,MVA,Step-up Power Transformer
HP-016,EOT Crane,2,299.7,Tonne,Overhead EOT Crane
HP-017,Turbine,4,182.925,MW,Pelton
HP-017,Generator,4,182.925,MW,Synchronous Hydro Generator
HP-017,Main Transformer,5,236.73,MVA,Step-up Power Transformer
HP-017,EOT Crane,2,93.3,Tonne,Overhead EOT Crane
HP-018,Turbine,4,359.355,MW,Pelton
HP-018,Generator,4,359.355,MW,Synchronous Hydro Generator
HP-018,Main Transformer,5,465.05,MVA,Step-up Power Transformer
HP-019,Turbine,4,393.4825,MW,Pelton
HP-019,Generator,4,393.4825,MW,Synchronous Hydro Generator
HP-019,Main Transformer,5,509.21,MVA,Step-up Power Transformer
HP-019,EOT Crane,2,205.1,Tonne,Overhead EOT Crane
HP-020,Turbine,5,61.19,MW,Pelton
HP-020,Generator,5,61.19,MW,Synchronous Hydro Generator
HP-020,Main Transformer,6,79.19,MVA,Step-up Power Transformer
HP-021,Turbine,8,199.3663,MW,Francis
HP-021,Generator,8,199.3663,MW,Synchronous Hydro Generator
HP-021,Main Transformer,9,258.0,MVA,Step-up Power Transformer
HP-021,EOT Crane,2,31.3,Tonne,Overhead EOT Crane
HP-022,Turbine,6,103.7667,MW,Francis
HP-022,Generator,6,103.7667,MW,Synchronous Hydro Generator
HP-022,Main Transformer,7,134.29,MVA,Step-up Power Transformer
HP-022,EOT Crane,2,40.0,Tonne,Overhead EOT Crane
HP-023,Turbine,8,95.66,MW,Pelton
HP-023,Generator,8,95.66,MW,Synchronous Hydro Generator
HP-023,Main Transformer,9,123.8,MVA,Step-up Power Transformer
HP-023,EOT Crane,2,43.0,Tonne,Overhead EOT Crane
HP-024,Turbine,4,171.5175,MW,Pelton
HP-024,Generator,4,171.5175,MW,Synchronous Hydro Generator
HP-024,Main Transformer,5,221.96,MVA,Step-up Power Transformer
HP-024,EOT Crane,2,235.1,Tonne,Overhead EOT Crane
HP-025,Turbine,3,126.11,MW,Pelton
HP-025,Generator,3,126.11,MW,Synchronous Hydro Generator
HP-025,Main Transformer,4,163.2,MVA,Step-up Power Transformer
HP-025,EOT Crane,2,34.5,Tonne,Overhead EOT Crane
HP-026,Turbine,6,182.63,MW,Pelton
HP-026,Generator,6,182.63,MW,Synchronous Hydro Generator
HP-026,Main Transformer,7,236.34,MVA,Step-up Power Transformer
HP-026,EOT Crane,2,49.9,Tonne,Overhead EOT Crane
HP-027,Turbine,4,441.29,MW,Pelton
HP-027,Generator,4,441.29,MW,Synchronous Hydro Generator
HP-027,Main Transformer,5,571.08,MVA,Step-up Power Transformer
HP-028,Turbine,4,222.09,MW,Francis
HP-028,Generator,4,222.09,MW,Synchronous Hydro Generator
HP-028,Main Transformer,5,287.41,MVA,Step-up Power Transformer
HP-029,Turbine,5,36.562,MW,Francis
HP-029,Generator,5,36.562,MW,Synchronous Hydro Generator
HP-029,Main Transformer,6,47.32,MVA,Step-up Power Transformer
HP-029,EOT Crane,2,210.7,Tonne,Overhead EOT Crane
HP-030,Turbine,3,83.35,MW,Pelton
HP-030,Generator,3,83.35,MW,Synchronous Hydro Generator
HP-030,Main Transformer,4,107.86,MVA,Step-up Power Transformer
HP-030,EOT Crane,2,154.7,Tonne,Overhead EOT Crane
HP-031,Turbine,6,239.6167,MW,Francis
HP-031,Generator,6,239.6167,MW,Synchronous Hydro Generator
HP-031,Main Transformer,7,310.09,MVA,Step-up Power Transformer
HP-031,EOT Crane,2,109.9,Tonne,Overhead EOT Crane
HP-032,Turbine,4,263.8725,MW,Pelton
HP-032,Generator,4,263.8725,MW,Synchronous Hydro Generator
HP-032,Main Transformer,5,341.48,MVA,Step-up Power Transformer
HP-032,EOT Crane,2,144.7,Tonne,Overhead EOT Crane
HP-033,Turbine,6,325.535,MW,Francis
HP-033,Generator,6,325.535,MW,Synchronous Hydro Generator
HP-033,Main Transformer,7,421.28,MVA,Step-up Power Transformer
HP-034,Turbine,6,325.4433,MW,Pelton
HP-034,Generator,6,325.4433,MW,Synchronous Hydro Generator
HP-034,Main Transformer,7,421.16,MVA,Step-up Power Transformer
HP-034,EOT Crane,2,234.6,Tonne,Overhead EOT Crane
HP-035,Turbine,6,316.9333,MW,Pelton
HP-035,Generator,6,316.9333,MW,Synchronous Hydro Generator
HP-035,Main Transformer,7,410.15,MVA,Step-up Power Transformer
HP-035,EOT Crane,2,247.3,Tonne,Overhead EOT Crane
HP-036,Turbine,8,239.3875,MW,Francis
HP-036,Generator,8,239.3875,MW,Synchronous Hydro Generator
HP-036,Main Transformer,9,309.8,MVA,Step-up Power Transformer
HP-036,EOT Crane,2,64.0,Tonne,Overhead EOT Crane
HP-037,Turbine,8,147.3963,MW,Pelton
HP-037,Generator,8,147.3963,MW,Synchronous Hydro Generator
HP-037,Main Transformer,9,190.75,MVA,Step-up Power Transformer
HP-037,EOT Crane,2,214.0,Tonne,Overhead EOT Crane
HP-038,Turbine,8,64.9613,MW,Pelton
HP-038,Generator,8,64.9613,MW,Synchronous Hydro Generator
HP-038,Main Transformer,9,84.07,MVA,Step-up Power Transformer
HP-039,Turbine,6,146.1517,MW,Francis
HP-039,Generator,6,146.1517,MW,Synchronous Hydro Generator
HP-039,Main Transformer,7,189.14,MVA,Step-up Power Transformer
HP-039,EOT Crane,2,228.8,Tonne,Overhead EOT Crane
HP-040,Turbine,4,176.4975,MW,Francis
HP-040,Generator,4,176.4975,MW,Synchronous Hydro Generator
HP-040,Main Transformer,5,228.41,MVA,Step-up Power Transformer
HP-041,Turbine,4,438.0025,MW,Pelton
HP-041,Generator,4,438.0025,MW,Synchronous Hydro Generator
HP-041,Main Transformer,5,566.83,MVA,Step-up Power Transformer
HP-041,EOT Crane,2,152.3,Tonne,Overhead EOT Crane
HP-042,Turbine,4,256.9625,MW,Pelton
HP-042,Generator,4,256.9625,MW,Synchronous Hydro Generator
HP-042,Main Transformer,5,332.54,MVA,Step-up Power Transformer
HP-042,EOT Crane,2,199.6,Tonne,Overhead EOT Crane
HP-043,Turbine,4,204.17,MW,Pelton
HP-043,Generator,4,204.17,MW,Synchronous Hydro Generator
HP-043,Main Transformer,5,264.22,MVA,Step-up Power Transformer
HP-044,Turbine,6,26.065,MW,Pelton
HP-044,Generator,6,26.065,MW,Synchronous Hydro Generator
HP-044,Main Transformer,7,33.73,MVA,Step-up Power Transformer
HP-044,EOT Crane,2,52.3,Tonne,Overhead EOT Crane
HP-045,Turbine,6,264.515,MW,Francis
HP-045,Generator,6,264.515,MW,Synchronous Hydro Generator
HP-045,Main Transformer,7,342.31,MVA,Step-up Power Transformer
HP-045,EOT Crane,2,128.7,Tonne,Overhead EOT Crane
HP-046,Turbine,8,168.9363,MW,Francis
HP-046,Generator,8,168.9363,MW,Synchronous Hydro Generator
HP-046,Main Transformer,9,218.62,MVA,Step-up Power Transformer
HP-047,Turbine,4,241.2975,MW,Pelton
HP-047,Generator,4,241.2975,MW,Synchronous Hydro Generator
HP-047,Main Transformer,5,312.27,MVA,Step-up Power Transformer
HP-047,EOT Crane,2,180.2,Tonne,Overhead EOT Crane
HP-048,Turbine,6,203.56,MW,Francis
HP-048,Generator,6,203.56,MW,Synchronous Hydro Generator
HP-048,Main Transformer,7,263.43,MVA,Step-up Power Transformer
HP-048,EOT Crane,2,87.7,Tonne,Overhead EOT Crane
HP-049,Turbine,4,284.53,MW,Pelton
HP-049,Generator,4,284.53,MW,Synchronous Hydro Generator
HP-049,Main Transformer,5,368.22,MVA,Step-up Power Transformer
HP-049,EOT Crane,2,123.9,Tonne,Overhead EOT Crane
HP-050,Turbine,8,101.6112,MW,Pelton
HP-050,Generator,8,101.6112,MW,Synchronous Hydro Generator
HP-050,Main Transformer,9,131.5,MVA,Step-up Power Transformer
HP-050,EOT Crane,2,82.6,Tonne,Overhead EOT Crane
HP-051,Turbine,4,322.1725,MW,Kaplan
HP-051,Generator,4,322.1725,MW,Synchronous Hydro Generator
HP-051,Main Transformer,5,416.93,MVA,Step-up Power Transformer
HP-051,EOT Crane,2,101.2,Tonne,Overhead EOT Crane
HP-052,Turbine,8,155.2425,MW,Pelton
HP-052,Generator,8,155.2425,MW,Synchronous Hydro Generator
HP-052,Main Transformer,9,200.9,MVA,Step-up Power Transformer
HP-052,EOT Crane,2,99.9,Tonne,Overhead EOT Crane
HP-053,Turbine,8,151.7837,MW,Pelton
HP-053,Generator,8,151.7837,MW,Synchronous Hydro Generator
HP-053,Main Transformer,9,196.43,MVA,Step-up Power Transformer
HP-054,Turbine,3,62.4867,MW,Pelton
HP-054,Generator,3,62.4867,MW,Synchronous Hydro Generator
HP-054,Main Transformer,4,80.87,MVA,Step-up Power Transformer
HP-055,Turbine,4,122.4875,MW,Francis
HP-055,Generator,4,122.4875,MW,Synchronous Hydro Generator
HP-055,Main Transformer,5,158.51,MVA,Step-up Power Transformer
HP-055,EOT Crane,2,185.0,Tonne,Overhead EOT Crane
HP-056,Turbine,6,323.3267,MW,Pelton
HP-056,Generator,6,323.3267,MW,Synchronous Hydro Generator
HP-056,Main Transformer,7,418.42,MVA,Step-up Power Transformer
HP-057,Turbine,6,147.14,MW,Francis
HP-057,Generator,6,147.14,MW,Synchronous Hydro Generator
HP-057,Main Transformer,7,190.42,MVA,Step-up Power Transformer
HP-057,EOT Crane,2,181.8,Tonne,Overhead EOT Crane
HP-058,Turbine,6,316.7283,MW,Francis
HP-058,Generator,6,316.7283,MW,Synchronous Hydro Generator
HP-058,Main Transformer,7,409.88,MVA,Step-up Power Transformer
HP-058,EOT Crane,2,99.0,Tonne,Overhead EOT Crane
HP-059,Turbine,8,105.5125,MW,Pelton
HP-059,Generator,8,105.5125,MW,Synchronous Hydro Generator
HP-059,Main Transformer,9,136.55,MVA,Step-up Power Transformer
HP-059,EOT Crane,2,118.9,Tonne,Overhead EOT Crane
HP-060,Turbine,8,246.5037,MW,Pelton
HP-060,Generator,8,246.5037,MW,Synchronous Hydro Generator
HP-060,Main Transformer,9,319.0,MVA,Step-up Power Transformer
HP-060,EOT Crane,2,87.9,Tonne,Overhead EOT Crane
HP-061,Turbine,4,188.3175,MW,Francis
HP-061,Generator,4,188.3175,MW,Synchronous Hydro Generator
HP-061,Main Transformer,5,243.71,MVA,Step-up Power Transformer
HP-061,EOT Crane,2,161.5,Tonne,Overhead EOT Crane
HP-062,Turbine,6,202.8533,MW,Pelton
HP-062,Generator,6,202.8533,MW,Synchronous Hydro Generator
HP-062,Main Transformer,7,262.52,MVA,Step-up Power Transformer
HP-062,EOT Crane,2,29.0,Tonne,Overhead EOT Crane
HP-063,Turbine,3,155.4433,MW,Francis
HP-063,Generator,3,155.4433,MW,Synchronous Hydro Generator
HP-063,Main Transformer,4,201.16,MVA,Step-up Power Transformer
HP-063,EOT Crane,2,257.0,Tonne,Overhead EOT Crane
HP-064,Turbine,8,136.1575,MW,Pelton
HP-064,Generator,8,136.1575,MW,Synchronous Hydro Generator
HP-064,Main Transformer,9,176.2,MVA,Step-up Power Transformer
HP-064,EOT Crane,2,95.2,Tonne,Overhead EOT Crane
HP-065,Turbine,6,44.96,MW,Francis
HP-065,Generator,6,44.96,MW,Synchronous Hydro Generator
HP-065,Main Transformer,7,58.18,MVA,Step-up Power Transformer
HP-065,EOT Crane,2,148.4,Tonne,Overhead EOT Crane
HP-066,Turbine,8,224.3525,MW,Pelton
HP-066,Generator,8,224.3525,MW,Synchronous Hydro Generator
HP-066,Main Transformer,9,290.34,MVA,Step-up Power Transformer
HP-066,EOT Crane,2,130.9,Tonne,Overhead EOT Crane
HP-067,Turbine,3,163.5067,MW,Francis
HP-067,Generator,3,163.5067,MW,Synchronous Hydro Generator
HP-067,Main Transformer,4,211.6,MVA,Step-up Power Transformer
HP-068,Turbine,4,70.1475,MW,Pelton
HP-068,Generator,4,70.1475,MW,Synchronous Hydro Generator
HP-068,Main Transformer,5,90.78,MVA,Step-up Power Transformer
HP-068,EOT Crane,2,75.0,Tonne,Overhead EOT Crane
HP-069,Turbine,8,169.6612,MW,Pelton
HP-069,Generator,8,169.6612,MW,Synchronous Hydro Generator
HP-069,Main Transformer,9,219.56,MVA,Step-up Power Transformer
HP-069,EOT Crane,2,254.9,Tonne,Overhead EOT Crane
HP-070,Turbine,4,197.58,MW,Francis
HP-070,Generator,4,197.58,MW,Synchronous Hydro Generator
HP-070,Main Transformer,5,255.69,MVA,Step-up Power Transformer
HP-070,EOT Crane,2,246.4,Tonne,Overhead EOT Crane
HP-071,Turbine,6,295.775,MW,Pelton
HP-071,Generator,6,295.775,MW,Synchronous Hydro Generator
HP-071,Main Transformer,7,382.77,MVA,Step-up Power Transformer
HP-071,EOT Crane,2,237.8,Tonne,Overhead EOT Crane
HP-072,Turbine,6,235.36,MW,Pelton
HP-072,Generator,6,235.36,MW,Synchronous Hydro Generator
HP-072,Main Transformer,7,304.58,MVA,Step-up Power Transformer
HP-072,EOT Crane,2,47.7,Tonne,Overhead EOT Crane
HP-073,Turbine,8,181.055,MW,Pelton
HP-073,Generator,8,181.055,MW,Synchronous Hydro Generator
HP-073,Main Transformer,9,234.31,MVA,Step-up Power Transformer
HP-073,EOT Crane,2,118.7,Tonne,Overhead EOT Crane
HP-074,Turbine,4,451.6875,MW,Pelton
HP-074,Generator,4,451.6875,MW,Synchronous Hydro Generator
HP-074,Main Transformer,5,584.54,MVA,Step-up Power Transformer
HP-074,EOT Crane,2,278.7,Tonne,Overhead EOT Crane
HP-075,Turbine,8,139.205,MW,Francis
HP-075,Generator,8,139.205,MW,Synchronous Hydro Generator
HP-075,Main Transformer,9,180.15,MVA,Step-up Power Transformer
HP-076,Turbine,8,226.28,MW,Pelton
HP-076,Generator,8,226.28,MW,Synchronous Hydro Generator
HP-076,Main Transformer,9,292.83,MVA,Step-up Power Transformer
HP-076,EOT Crane,2,53.1,Tonne,Overhead EOT Crane
HP-077,Turbine,8,131.5225,MW,Pelton
HP-077,Generator,8,131.5225,MW,Synchronous Hydro Generator
HP-077,Main Transformer,9,170.21,MVA,Step-up Power Transformer
HP-077,EOT Crane,2,239.9,Tonne,Overhead EOT Crane
HP-078,Turbine,4,134.265,MW,Pelton
HP-078,Generator,4,134.265,MW,Synchronous Hydro Generator
HP-078,Main Transformer,5,173.75,MVA,Step-up Power Transformer
HP-078,EOT Crane,2,58.6,Tonne,Overhead EOT Crane
HP-079,Turbine,8,104.055,MW,Pelton
HP-079,Generator,8,104.055,MW,Synchronous Hydro Generator
HP-079,Main Transformer,9,134.66,MVA,Step-up Power Transformer
HP-079,EOT Crane,2,118.8,Tonne,Overhead EOT Crane
HP-080,Turbine,6,65.6933,MW,Pelton
HP-080,Generator,6,65.6933,MW,Synchronous Hydro Generator
HP-080,Main Transformer,7,85.01,MVA,Step-up Power Transformer
HP-080,EOT Crane,2,161.1,Tonne,Overhead EOT Crane
HP-081,Turbine,8,129.9187,MW,Francis
HP-081,Generator,8,129.9187,MW,Synchronous Hydro Generator
HP-081,Main Transformer,9,168.13,MVA,Step-up Power Transformer
HP-081,EOT Crane,2,119.4,Tonne,Overhead EOT Crane
HP-082,Turbine,4,243.855,MW,Pelton
HP-082,Generator,4,243.855,MW,Synchronous Hydro Generator
HP-082,Main Transformer,5,315.58,MVA,Step-up Power Transformer
HP-082,EOT Crane,2,117.6,Tonne,Overhead EOT Crane
HP-083,Turbine,8,246.2937,MW,Pelton
HP-083,Generator,8,246.2937,MW,Synchronous Hydro Generator
HP-083,Main Transformer,9,318.73,MVA,Step-up Power Transformer
HP-083,EOT Crane,2,224.2,Tonne,Overhead EOT Crane
HP-084,Turbine,6,59.2633,MW,Pelton
HP-084,Generator,6,59.2633,MW,Synchronous Hydro Generator
HP-084,Main Transformer,7,76.69,MVA,Step-up Power Transformer
HP-085,Turbine,6,108.9417,MW,Pelton
HP-085,Generator,6,108.9417,MW,Synchronous Hydro Generator
HP-085,Main Transformer,7,140.98,MVA,Step-up Power Transformer
HP-085,EOT Crane,2,166.4,Tonne,Overhead EOT Crane
HP-086,Turbine,6,169.1983,MW,Francis
HP-086,Generator,6,169.1983,MW,Synchronous Hydro Generator
HP-086,Main Transformer,7,218.96,MVA,Step-up Power Transformer
HP-086,EOT Crane,2,152.7,Tonne,Overhead EOT Crane
HP-087,Turbine,8,243.4288,MW,Francis
HP-087,Generator,8,243.4288,MW,Synchronous Hydro Generator
HP-087,Main Transformer,9,315.03,MVA,Step-up Power Transformer
HP-088,Turbine,6,290.16,MW,Pelton
HP-088,Generator,6,290.16,MW,Synchronous Hydro Generator
HP-088,Main Transformer,7,375.5,MVA,Step-up Power Transformer
HP-088,EOT Crane,2,89.8,Tonne,Overhead EOT Crane
HP-089,Turbine,3,131.5433,MW,Francis
HP-089,Generator,3,131.5433,MW,Synchronous Hydro Generator
HP-089,Main Transformer,4,170.23,MVA,Step-up Power Transformer
HP-090,Turbine,8,201.1362,MW,Francis
HP-090,Generator,8,201.1362,MW,Synchronous Hydro Generator
HP-090,Main Transformer,9,260.29,MVA,Step-up Power Transformer
HP-090,EOT Crane,2,139.8,Tonne,Overhead EOT Crane
HP-091,Turbine,4,89.1875,MW,Pelton
HP-091,Generator,4,89.1875,MW,Synchronous Hydro Generator
HP-091,Main Transformer,5,115.42,MVA,Step-up Power Transformer
HP-091,EOT Crane,2,256.3,Tonne,Overhead EOT Crane
HP-092,Turbine,6,113.1933,MW,Francis
HP-092,Generator,6,113.1933,MW,Synchronous Hydro Generator
HP-092,Main Transformer,7,146.49,MVA,Step-up Power Transformer
HP-092,EOT Crane,2,188.7,Tonne,Overhead EOT Crane
HP-093,Turbine,8,232.0012,MW,Pelton
HP-093,Generator,8,232.0012,MW,Synchronous Hydro Generator
HP-093,Main Transformer,9,300.24,MVA,Step-up Power Transformer
HP-093,EOT Crane,2,157.5,Tonne,Overhead EOT Crane
HP-094,Turbine,4,119.485,MW,Francis
HP-094,Generator,4,119.485,MW,Synchronous Hydro Generator
HP-094,Main Transformer,5,154.63,MVA,Step-up Power Transformer
HP-094,EOT Crane,2,273.8,Tonne,Overhead EOT Crane
HP-095,Turbine,4,289.7475,MW,Pelton
HP-095,Generator,4,289.7475,MW,Synchronous Hydro Generator
HP-095,Main Transformer,5,374.97,MVA,Step-up Power Transformer
HP-095,EOT Crane,2,295.8,Tonne,Overhead EOT Crane
HP-096,Turbine,6,297.7383,MW,Pelton
HP-096,Generator,6,297.7383,MW,Synchronous Hydro Generator
HP-096,Main Transformer,7,385.31,MVA,Step-up Power Transformer
HP-096,EOT Crane,2,270.0,Tonne,Overhead EOT Crane
HP-097,Turbine,4,353.5725,MW,Pelton
HP-097,Generator,4,353.5725,MW,Synchronous Hydro Generator
HP-097,Main Transformer,5,457.56,MVA,Step-up Power Transformer
HP-097,EOT Crane,2,90.7,Tonne,Overhead EOT Crane
HP-098,Turbine,5,40.944,MW,Francis
HP-098,Generator,5,40.944,MW,Synchronous Hydro Generator
HP-098,Main Transformer,6,52.99,MVA,Step-up Power Transformer
HP-098,EOT Crane,2,190.7,Tonne,Overhead EOT Crane
HP-099,Turbine,4,371.37,MW,Pelton
HP-099,Generator,4,371.37,MW,Synchronous Hydro Generator
HP-099,Main Transformer,5,480.6,MVA,Step-up Power Transformer
HP-099,EOT Crane,2,225.3,Tonne,Overhead EOT Crane
HP-100,Turbine,5,27.132,MW,Francis
HP-100,Generator,5,27.132,MW,Synchronous Hydro Generator
HP-100,Main Transformer,6,35.11,MVA,Step-up Power Transformer
HP-100,EOT Crane,2,20.6,Tonne,Overhead EOT Crane
HP-101,Turbine,2,47.465,MW,Pelton
HP-101,Generator,2,47.465,MW,Synchronous Hydro Generator
HP-101,Main Transformer,2,61.43,MVA,Step-up Power Transformer
HP-101,EOT Crane,1,247.1,Tonne,Overhead EOT Crane
HP-102,Turbine,3,22.5267,MW,Pelton
HP-102,Generator,3,22.5267,MW,Synchronous Hydro Generator
HP-102,Main Transformer,3,29.15,MVA,Step-up Power Transformer
HP-102,EOT Crane,1,238.3,Tonne,Overhead EOT Crane
HP-103,Turbine,2,43.88,MW,Francis
HP-103,Generator,2,43.88,MW,Synchronous Hydro Generator
HP-103,Main Transformer,2,56.79,MVA,Step-up Power Transformer
HP-104,Turbine,4,10.66,MW,Francis
HP-104,Generator,4,10.66,MW,Synchronous Hydro Generator
HP-104,Main Transformer,4,13.8,MVA,Step-up Power Transformer
HP-104,EOT Crane,1,116.9,Tonne,Overhead EOT Crane
HP-105,Turbine,4,15.9425,MW,Francis
HP-105,Generator,4,15.9425,MW,Synchronous Hydro Generator
HP-105,Main Transformer,4,20.63,MVA,Step-up Power Transformer
HP-105,EOT Crane,1,139.5,Tonne,Overhead EOT Crane
HP-106,Turbine,4,21.2375,MW,Pelton
HP-106,Generator,4,21.2375,MW,Synchronous Hydro Generator
HP-106,Main Transformer,4,27.48,MVA,Step-up Power Transformer
HP-106,EOT Crane,1,143.7,Tonne,Overhead EOT Crane
HP-107,Turbine,4,12.5775,MW,Kaplan
HP-107,Generator,4,12.5775,MW,Synchronous Hydro Generator
HP-107,Main Transformer,4,16.28,MVA,Step-up Power Transformer
HP-107,EOT Crane,1,152.6,Tonne,Overhead EOT Crane
HP-108,Turbine,4,15.475,MW,Pelton
HP-108,Generator,4,15.475,MW,Synchronous Hydro Generator
HP-108,Main Transformer,4,20.03,MVA,Step-up Power Transformer
HP-108,EOT Crane,1,68.9,Tonne,Overhead EOT Crane
HP-109,Turbine,4,19.2975,MW,Francis
HP-109,Generator,4,19.2975,MW,Synchronous Hydro Generator
HP-109,Main Transformer,4,24.97,MVA,Step-up Power Transformer
HP-109,EOT Crane,1,247.2,Tonne,Overhead EOT Crane
HP-110,Turbine,4,7.4325,MW,Francis
HP-110,Generator,4,7.4325,MW,Synchronous Hydro Generator
HP-110,Main Transformer,4,9.62,MVA,Step-up Power Transformer
HP-111,Turbine,2,43.495,MW,Pelton
HP-111,Generator,2,43.495,MW,Synchronous Hydro Generator
HP-111,Main Transformer,2,56.29,MVA,Step-up Power Transformer
HP-112,Turbine,2,26.58,MW,Francis
HP-112,Generator,2,26.58,MW,Synchronous Hydro Generator
HP-112,Main Transformer,2,34.4,MVA,Step-up Power Transformer
HP-112,EOT Crane,1,275.0,Tonne,Overhead EOT Crane
HP-113,Turbine,3,26.67,MW,Pelton
HP-113,Generator,3,26.67,MW,Synchronous Hydro Generator
HP-113,Main Transformer,3,34.51,MVA,Step-up Power Transformer
HP-113,EOT Crane,1,205.6,Tonne,Overhead EOT Crane
HP-114,Turbine,4,17.86,MW,Pelton
HP-114,Generator,4,17.86,MW,Synchronous Hydro Generator
HP-114,Main Transformer,4,23.11,MVA,Step-up Power Transformer
HP-114,EOT Crane,1,212.2,Tonne,Overhead EOT Crane
HP-115,Turbine,3,18.7467,MW,Pelton
HP-115,Generator,3,18.7467,MW,Synchronous Hydro Generator
HP-115,Main Transformer,3,24.26,MVA,Step-up Power Transformer
HP-115,EOT Crane,1,173.1,Tonne,Overhead EOT Crane
HP-116,Turbine,2,29.315,MW,Pelton
HP-116,Generator,2,29.315,MW,Synchronous Hydro Generator
HP-116,Main Transformer,2,37.94,MVA,Step-up Power Transformer
HP-116,EOT Crane,1,152.2,Tonne,Overhead EOT Crane
HP-117,Turbine,3,12.0333,MW,Francis
HP-117,Generator,3,12.0333,MW,Synchronous Hydro Generator
HP-117,Main Transformer,3,15.57,MVA,Step-up Power Transformer
HP-117,EOT Crane,1,75.1,Tonne,Overhead EOT Crane
HP-118,Turbine,3,29.19,MW,Francis
HP-118,Generator,3,29.19,MW,Synchronous Hydro Generator
HP-118,Main Transformer,3,37.78,MVA,Step-up Power Transformer
HP-118,EOT Crane,1,208.8,Tonne,Overhead EOT Crane
HP-119,Turbine,2,17.635,MW,Francis
HP-119,Generator,2,17.635,MW,Synchronous Hydro Generator
HP-119,Main Transformer,2,22.82,MVA,Step-up Power Transformer
HP-120,Turbine,2,46.57,MW,Francis
HP-120,Generator,2,46.57,MW,Synchronous Hydro Generator
HP-120,Main Transformer,2,60.27,MVA,Step-up Power Transformer
